WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
ALFALFA RUN SEEP DITCH-CODWR,ALFALFA RUN SEEP DITCH-CODWR,,Unspecified,Fresh,,
ALLEN BASIN SUPPLY D-CODWR,ALLEN BASIN SUPPLY D-CODWR,,Unspecified,Fresh,,
ALLEN WELL NO 7-CODWR,ALLEN WELL NO 7-CODWR,,Unspecified,Fresh,,
ALP SPRING-CODWR,ALP SPRING-CODWR,,Unspecified,Fresh,,
ALR WELL NO 1-CODWR,ALR WELL NO 1-CODWR,,Unspecified,Fresh,,
AMSBARY DITCH-CODWR,AMSBARY DITCH-CODWR,,Unspecified,Fresh,,
ADAMS WELL-CODWR,ADAMS WELL-CODWR,,Unspecified,Fresh,,
ALLEN PUMP SITE-CODWR,ALLEN PUMP SITE-CODWR,,Unspecified,Fresh,,
ALTA VISTA DITCH NO 2-CODWR,ALTA VISTA DITCH NO 2-CODWR,,Unspecified,Fresh,,
AIRPORT PIPELINE-CODWR,AIRPORT PIPELINE-CODWR,,Unspecified,Fresh,,
ALVIN SLOSS DITCH-CODWR,ALVIN SLOSS DITCH-CODWR,,Unspecified,Fresh,,
ANDERSON POND NO 1 EAST-CODWR,ANDERSON POND NO 1 EAST-CODWR,,Unspecified,Fresh,,
AMOS PUMP-CODWR,AMOS PUMP-CODWR,,Unspecified,Fresh,,
ANDERSON DITCH NO 2-CODWR,ANDERSON DITCH NO 2-CODWR,,Unspecified,Fresh,,
AMELIA'S PUMP-CODWR,AMELIA'S PUMP-CODWR,,Unspecified,Fresh,,
AMV WELL NO 2-CODWR,AMV WELL NO 2-CODWR,,Unspecified,Fresh,,
AMAYA PUMP-CODWR,AMAYA PUMP-CODWR,,Unspecified,Fresh,,
AMEN WELL 2-10784-CODWR,AMEN WELL 2-10784-CODWR,,Unspecified,Fresh,,
ANDREWS WELL NO 2-CODWR,ANDREWS WELL NO 2-CODWR,,Unspecified,Fresh,,
ANDERSON DITCH-CODWR,ANDERSON DITCH-CODWR,,Unspecified,Fresh,,
ALDASORO WELL NO 4-CODWR,ALDASORO WELL NO 4-CODWR,,Unspecified,Fresh,,
ANDERSON D GRIEVE HEADGT-CODWR,ANDERSON D GRIEVE HEADGT-CODWR,,Unspecified,Fresh,,
ANDERSON DITCH 4-CODWR,ANDERSON DITCH 4-CODWR,,Unspecified,Fresh,,
ANDERSON WELL 1-5964-CODWR,ANDERSON WELL 1-5964-CODWR,,Unspecified,Fresh,,
ANDREWS DITCH-CODWR,ANDREWS DITCH-CODWR,,Unspecified,Fresh,,
ANDREWS PUMP STATIONS-CODWR,ANDREWS PUMP STATIONS-CODWR,,Unspecified,Fresh,,
ANNA ROZMAN P/A POD-CODWR,ANNA ROZMAN P/A POD-CODWR,,Unspecified,Fresh,,
CHAMBERS CONDON RCHRG P 4-CODWR,CHAMBERS CONDON RCHRG P 4-CODWR,,Unspecified,Fresh,,
CHARLESWORTH D 1R-CODWR,CHARLESWORTH D 1R-CODWR,,Unspecified,Fresh,,
CHAMBERS POND NO 1-CODWR,CHAMBERS POND NO 1-CODWR,,Unspecified,Fresh,,
CHAMPIE #2 WELL-CODWR,CHAMPIE #2 WELL-CODWR,,Unspecified,Fresh,,
CHEROKEE METRO DISTRICT -CODWR,CHEROKEE METRO DISTRICT -CODWR,,Unspecified,Fresh,,
CHEROKEE METRO WWTP-CODWR,CHEROKEE METRO WWTP-CODWR,,Unspecified,Fresh,,
CHEROKEE WELL NO SC2-CODWR,CHEROKEE WELL NO SC2-CODWR,,Unspecified,Fresh,,
CHILTON DITCH-CODWR,CHILTON DITCH-CODWR,,Unspecified,Fresh,,
CHO1 (ANWR)-CODWR,CHO1 (ANWR)-CODWR,,Unspecified,Fresh,,
CHATFIELD BARTHOLOMEW D-CODWR,CHATFIELD BARTHOLOMEW D-CODWR,,Unspecified,Fresh,,
CHEVRON 13-13-CODWR,CHEVRON 13-13-CODWR,,Unspecified,Fresh,,
CHERRY WELL NO 1-CODWR,CHERRY WELL NO 1-CODWR,,Unspecified,Fresh,,
CHUCKS PIPELINE-CODWR,CHUCKS PIPELINE-CODWR,,Unspecified,Fresh,,
CITY OF LAMAR CU SUPPLIES-CODWR,CITY OF LAMAR CU SUPPLIES-CODWR,,Unspecified,Fresh,,
CHIDAL DITCH-CODWR,CHIDAL DITCH-CODWR,,Unspecified,Fresh,,
CHO2 (ANWR)-CODWR,CHO2 (ANWR)-CODWR,,Unspecified,Fresh,,
CHIQUITO DOLORES NO 2-CODWR,CHIQUITO DOLORES NO 2-CODWR,,Unspecified,Fresh,,
CHERRY LANE WELL 14928-CODWR,CHERRY LANE WELL 14928-CODWR,,Unspecified,Fresh,,
CINNAMON CREEK WELL NO 3-CODWR,CINNAMON CREEK WELL NO 3-CODWR,,Unspecified,Fresh,,
CISSNA DITCH NO 2-CODWR,CISSNA DITCH NO 2-CODWR,,Unspecified,Fresh,,
CHURCH DITCH-CODWR,CHURCH DITCH-CODWR,,Unspecified,Fresh,,
CIMARRON 32-18-CODWR,CIMARRON 32-18-CODWR,,Unspecified,Fresh,,
CHIPETA SPRING NO 1-CODWR,CHIPETA SPRING NO 1-CODWR,,Unspecified,Fresh,,
CLARK & WADE D-CODWR,CLARK & WADE D-CODWR,,Unspecified,Fresh,,
CHRISTENSEN AUG PLAN-CODWR,CHRISTENSEN AUG PLAN-CODWR,,Unspecified,Fresh,,
CISTERN DITCH-CODWR,CISTERN DITCH-CODWR,,Unspecified,Fresh,,
CLARK-CAMPBELL DIVERSION-CODWR,CLARK-CAMPBELL DIVERSION-CODWR,,Unspecified,Fresh,,
CLAUDE OFF DITCH-CODWR,CLAUDE OFF DITCH-CODWR,,Unspecified,Fresh,,
CLARIDA DITCH & PIPELINE-CODWR,CLARIDA DITCH & PIPELINE-CODWR,,Unspecified,Fresh,,
CITIZENS IRR CANAL-CODWR,CITIZENS IRR CANAL-CODWR,,Unspecified,Fresh,,
CLARK-WETTERICK MESA D-CODWR,CLARK-WETTERICK MESA D-CODWR,,Unspecified,Fresh,,
CLIFF CANYON SPRING #2-CODWR,CLIFF CANYON SPRING #2-CODWR,,Unspecified,Fresh,,
CLOSE DITCH NO 1-CODWR,CLOSE DITCH NO 1-CODWR,,Unspecified,Fresh,,
CNR LODGE WELL-CODWR,CNR LODGE WELL-CODWR,,Unspecified,Fresh,,
CLUB WEST SUBDIVISION WELL (#399)-CODWR,CLUB WEST SUBDIVISION WELL (#399)-CODWR,,Unspecified,Fresh,,
CLARK NO 3 DITCH-CODWR,CLARK NO 3 DITCH-CODWR,,Unspecified,Fresh,,
CLARK WELL NO 1188-R-CODWR,CLARK WELL NO 1188-R-CODWR,,Unspecified,Fresh,,
CLEAR SPRINGS RANCH P-14-CODWR,CLEAR SPRINGS RANCH P-14-CODWR,,Unspecified,Fresh,,
CLOUD DITCH-CODWR,CLOUD DITCH-CODWR,,Unspecified,Fresh,,
CLIFF IRR DITCH NO 2-CODWR,CLIFF IRR DITCH NO 2-CODWR,,Unspecified,Fresh,,
CLINTON/FRASER AUG PLAN DEPLETION REACH-CODWR,CLINTON/FRASER AUG PLAN DEPLETION REACH-CODWR,,Unspecified,Fresh,,
CNR OFFICE WELL-CODWR,CNR OFFICE WELL-CODWR,,Unspecified,Fresh,,
CAYENNE 23-23 TR-CODWR,CAYENNE 23-23 TR-CODWR,,Unspecified,Fresh,,
CLODFELTER WELL NO 2-CODWR,CLODFELTER WELL NO 2-CODWR,,Unspecified,Fresh,,
CLOVIS METROZ NO1 ALT 4-CODWR,CLOVIS METROZ NO1 ALT 4-CODWR,,Unspecified,Fresh,,
CC&V AUG STATION-GRASSY VALLEY-CODWR,CC&V AUG STATION-GRASSY VALLEY-CODWR,,Unspecified,Fresh,,
CEDARPOINT FEEDER DITCH-CODWR,CEDARPOINT FEEDER DITCH-CODWR,,Unspecified,Fresh,,
CHANCELLOR WELL NO 1-CODWR,CHANCELLOR WELL NO 1-CODWR,,Unspecified,Fresh,,
CHARLES B MCCOY DITCH-CODWR,CHARLES B MCCOY DITCH-CODWR,,Unspecified,Fresh,,
COAL CREEK VALLEY DITCH-CODWR,COAL CREEK VALLEY DITCH-CODWR,,Unspecified,Fresh,,
COAL RIDGE / GRAND RIVER PARK DEPLETION -CODWR,COAL RIDGE / GRAND RIVER PARK DEPLETION -CODWR,,Unspecified,Fresh,,
COCA WELL NO 13327-CODWR,COCA WELL NO 13327-CODWR,,Unspecified,Fresh,,
COCHRAN PIONEER D BYPASS-CODWR,COCHRAN PIONEER D BYPASS-CODWR,,Unspecified,Fresh,,
FOSDICK WELL NO 1-CODWR,FOSDICK WELL NO 1-CODWR,,Unspecified,Fresh,,
FORNEY CORCORAN DITCH-CODWR,FORNEY CORCORAN DITCH-CODWR,,Unspecified,Fresh,,
FCRP WELL A-1-CODWR,FCRP WELL A-1-CODWR,,Unspecified,Fresh,,
FELTON D-CODWR,FELTON D-CODWR,,Unspecified,Fresh,,
FOSBURGH SPRING NO 1-CODWR,FOSBURGH SPRING NO 1-CODWR,,Unspecified,Fresh,,
FOSTER IRG D NO 4-CODWR,FOSTER IRG D NO 4-CODWR,,Unspecified,Fresh,,
FOULK WELL NO 55558F-CODWR,FOULK WELL NO 55558F-CODWR,,Unspecified,Fresh,,
FOUNTAIN SAND WELL NO 3-CODWR,FOUNTAIN SAND WELL NO 3-CODWR,,Unspecified,Fresh,,
FOUR MILE RANCH WELL NO2-CODWR,FOUR MILE RANCH WELL NO2-CODWR,,Unspecified,Fresh,,
FOURTH OF JULY DITCH-CODWR,FOURTH OF JULY DITCH-CODWR,,Unspecified,Fresh,,
FOWLER WELL NO 5-CODWR,FOWLER WELL NO 5-CODWR,,Unspecified,Fresh,,
FOUNTAIN WELL NO 20-CODWR,FOUNTAIN WELL NO 20-CODWR,,Unspecified,Fresh,,
FOWLER WELL NO 4-CODWR,FOWLER WELL NO 4-CODWR,,Unspecified,Fresh,,
FOXWORTH WELL-CODWR,FOXWORTH WELL-CODWR,,Unspecified,Fresh,,
FOX ESTATES WELL-CODWR,FOX ESTATES WELL-CODWR,,Unspecified,Fresh,,
FP WELL NO. 1-CODWR,FP WELL NO. 1-CODWR,,Unspecified,Fresh,,
FIX DITCH-CODWR,FIX DITCH-CODWR,,Unspecified,Fresh,,
FP WELL NO. 4-CODWR,FP WELL NO. 4-CODWR,,Unspecified,Fresh,,
FRANK MASS JR WELL NO 1-CODWR,FRANK MASS JR WELL NO 1-CODWR,,Unspecified,Fresh,,
FRANKLIN WELL NO 4912-F-CODWR,FRANKLIN WELL NO 4912-F-CODWR,,Unspecified,Fresh,,
FRASER SANITATION DEPLETION REACH-CODWR,FRASER SANITATION DEPLETION REACH-CODWR,,Unspecified,Fresh,,
FRANK ADAMS D NO 2-CODWR,FRANK ADAMS D NO 2-CODWR,,Unspecified,Fresh,,
FRANKLIN SPG NO 1-CODWR,FRANKLIN SPG NO 1-CODWR,,Unspecified,Fresh,,
FP WELL NO. 9-CODWR,FP WELL NO. 9-CODWR,,Unspecified,Fresh,,
FREIENMUTH WELL-CODWR,FREIENMUTH WELL-CODWR,,Unspecified,Fresh,,
FRINK & COMPANYS DITCH-CODWR,FRINK & COMPANYS DITCH-CODWR,,Unspecified,Fresh,,
FRITZLER WELL 1-2698-F-CODWR,FRITZLER WELL 1-2698-F-CODWR,,Unspecified,Fresh,,
FRED E TOWNE WELL-CODWR,FRED E TOWNE WELL-CODWR,,Unspecified,Fresh,,
FRUITA WATERWORKS PL DP#5-CODWR,FRUITA WATERWORKS PL DP#5-CODWR,,Unspecified,Fresh,,
FRENCHMAN CK PL-CODWR,FRENCHMAN CK PL-CODWR,,Unspecified,Fresh,,
FRASIER 31-17-CODWR,FRASIER 31-17-CODWR,,Unspecified,Fresh,,
FRED HOLYBEE SPG PL-CODWR,FRED HOLYBEE SPG PL-CODWR,,Unspecified,Fresh,,
FREMONT WELL NO 3-CODWR,FREMONT WELL NO 3-CODWR,,Unspecified,Fresh,,
FRITZ WELL NO 1-CODWR,FRITZ WELL NO 1-CODWR,,Unspecified,Fresh,,
FREEMAN PUMP #1-CODWR,FREEMAN PUMP #1-CODWR,,Unspecified,Fresh,,
FRY ARK PR CARTER CR CNT-CODWR,FRY ARK PR CARTER CR CNT-CODWR,,Unspecified,Fresh,,
FRONT RANGE AGGREGATES #67722-CODWR,FRONT RANGE AGGREGATES #67722-CODWR,,Unspecified,Fresh,,
FREESTYLE FEDERAL 11-29 TR-CODWR,FREESTYLE FEDERAL 11-29 TR-CODWR,,Unspecified,Fresh,,
FRENCH CREEK ABOVE CONFLUENCE WITH MICHI-CODWR,FRENCH CREEK ABOVE CONFLUENCE WITH MICHI-CODWR,,Unspecified,Fresh,,
FORBES/MCKINSTRY 2-11707-R-CODWR,FORBES/MCKINSTRY 2-11707-R-CODWR,,Unspecified,Fresh,,
FRITZLER WELL 1-014537F-CODWR,FRITZLER WELL 1-014537F-CODWR,,Unspecified,Fresh,,
FUCHS D-CODWR,FUCHS D-CODWR,,Unspecified,Fresh,,
FULTON SPRINGS DITCH-CODWR,FULTON SPRINGS DITCH-CODWR,,Unspecified,Fresh,,
FURR DITCH-CODWR,FURR DITCH-CODWR,,Unspecified,Fresh,,
GALE PUMP STATION-CODWR,GALE PUMP STATION-CODWR,,Unspecified,Fresh,,
GALLAGHER DITCH-CODWR,GALLAGHER DITCH-CODWR,,Unspecified,Fresh,,
GALLEGOS DITCH-CODWR,GALLEGOS DITCH-CODWR,,Unspecified,Fresh,,
GALYEAN WELL-CODWR,GALYEAN WELL-CODWR,,Unspecified,Fresh,,
GALE FORCE 31-8-CODWR,GALE FORCE 31-8-CODWR,,Unspecified,Fresh,,
GARCIA D-R-CODWR,GARCIA D-R-CODWR,,Unspecified,Fresh,,
GALLOWAY 32-13-CODWR,GALLOWAY 32-13-CODWR,,Unspecified,Fresh,,
GARLUTZO WELL-CODWR,GARLUTZO WELL-CODWR,,Unspecified,Fresh,,
G E HARRIS DITCH-CODWR,G E HARRIS DITCH-CODWR,,Unspecified,Fresh,,
IRONS WELL NO 3-CODWR,IRONS WELL NO 3-CODWR,,Unspecified,Fresh,,
IRRIG WELL BOONE NO  2B-CODWR,IRRIG WELL BOONE NO  2B-CODWR,,Unspecified,Fresh,,
IRRIG WELL BOONE NO  1-CODWR,IRRIG WELL BOONE NO  1-CODWR,,Unspecified,Fresh,,
IRRIG WELL BOONE NO  2A-CODWR,IRRIG WELL BOONE NO  2A-CODWR,,Unspecified,Fresh,,
J & P 21-13R-CODWR,J & P 21-13R-CODWR,,Unspecified,Fresh,,
IVO E SHULTS D & PUMP-CODWR,IVO E SHULTS D & PUMP-CODWR,,Unspecified,Fresh,,
IVEY DITCH-CODWR,IVEY DITCH-CODWR,,Unspecified,Fresh,,
J A MARTIN DITCH-CODWR,J A MARTIN DITCH-CODWR,,Unspecified,Fresh,,
ISLAND DITCH-CODWR,ISLAND DITCH-CODWR,,Unspecified,Fresh,,
HOT TOMATOES 22-20-CODWR,HOT TOMATOES 22-20-CODWR,,Unspecified,Fresh,,
J C R DITCH-CODWR,J C R DITCH-CODWR,,Unspecified,Fresh,,
J F ROTH DITCH-CODWR,J F ROTH DITCH-CODWR,,Unspecified,Fresh,,
J M DODD DITCH-CODWR,J M DODD DITCH-CODWR,,Unspecified,Fresh,,
J L SCHWAB DITCH 1 ANTE-CODWR,J L SCHWAB DITCH 1 ANTE-CODWR,,Unspecified,Fresh,,
J LARSON DITCH-CODWR,J LARSON DITCH-CODWR,,Unspecified,Fresh,,
J JARVIS SWIFT CR NO 4-CODWR,J JARVIS SWIFT CR NO 4-CODWR,,Unspecified,Fresh,,
J W BROWN DITCH-CODWR,J W BROWN DITCH-CODWR,,Unspecified,Fresh,,
J MARVIN WILHITE NO 1-CODWR,J MARVIN WILHITE NO 1-CODWR,,Unspecified,Fresh,,
J MARVIN WILHITE NO 2-CODWR,J MARVIN WILHITE NO 2-CODWR,,Unspecified,Fresh,,
J R GRIER WELL-CODWR,J R GRIER WELL-CODWR,,Unspecified,Fresh,,
J SCHMIDT & F DEICKMAN-CODWR,J SCHMIDT & F DEICKMAN-CODWR,,Unspecified,Fresh,,
JACKSON SPRING AND SEEP-CODWR,JACKSON SPRING AND SEEP-CODWR,,Unspecified,Fresh,,
JAIL SPRINGS-CODWR,JAIL SPRINGS-CODWR,,Unspecified,Fresh,,
JACKSON DITCH NO 2-CODWR,JACKSON DITCH NO 2-CODWR,,Unspecified,Fresh,,
JACOBS PUMP #1-CODWR,JACOBS PUMP #1-CODWR,,Unspecified,Fresh,,
JADE 23-25-CODWR,JADE 23-25-CODWR,,Unspecified,Fresh,,
HUMBERT RESERVOIR-CODWR,HUMBERT RESERVOIR-CODWR,,Unspecified,Fresh,,
JACOBS D NO 3-CODWR,JACOBS D NO 3-CODWR,,Unspecified,Fresh,,
HUMMER 11-32 TR-CODWR,HUMMER 11-32 TR-CODWR,,Unspecified,Fresh,,
JACOBS D NO 2 BYPASS-CODWR,JACOBS D NO 2 BYPASS-CODWR,,Unspecified,Fresh,,
JAEGER BROWN TC WELL 45303F-CODWR,JAEGER BROWN TC WELL 45303F-CODWR,,Unspecified,Fresh,,
HYATT WELL NO 6421-CODWR,HYATT WELL NO 6421-CODWR,,Unspecified,Fresh,,
JAMES HANGS DITCH-CODWR,JAMES HANGS DITCH-CODWR,,Unspecified,Fresh,,
JAMES-CARR SEPG D NO 1-CODWR,JAMES-CARR SEPG D NO 1-CODWR,,Unspecified,Fresh,,
JANITELL WELL NO 105-CODWR,JANITELL WELL NO 105-CODWR,,Unspecified,Fresh,,
JAMESON WELL NO 4-CODWR,JAMESON WELL NO 4-CODWR,,Unspecified,Fresh,,
JANITELL WELL NO 104A-CODWR,JANITELL WELL NO 104A-CODWR,,Unspecified,Fresh,,
I R CROWLEY ART WELL SYS-CODWR,I R CROWLEY ART WELL SYS-CODWR,,Unspecified,Fresh,,
IND P TM DVR TUNNEL NO 2-CODWR,IND P TM DVR TUNNEL NO 2-CODWR,,Unspecified,Fresh,,
JARAMILLO OVFL D NO 2-CODWR,JARAMILLO OVFL D NO 2-CODWR,,Unspecified,Fresh,,
JAMES HAYES DITCH-CODWR,JAMES HAYES DITCH-CODWR,,Unspecified,Fresh,,
JAMES WATT DITCH-CODWR,JAMES WATT DITCH-CODWR,,Unspecified,Fresh,,
JANITELL WELL NO 210-CODWR,JANITELL WELL NO 210-CODWR,,Unspecified,Fresh,,
JASPER M BURCH DITCH-CODWR,JASPER M BURCH DITCH-CODWR,,Unspecified,Fresh,,
JBBS PUMP-CODWR,JBBS PUMP-CODWR,,Unspecified,Fresh,,
JANKOVSKY WELL 4-7037-CODWR,JANKOVSKY WELL 4-7037-CODWR,,Unspecified,Fresh,,
JENNEY DIVERSION-CODWR,JENNEY DIVERSION-CODWR,,Unspecified,Fresh,,
JAY BAR-CODWR,JAY BAR-CODWR,,Unspecified,Fresh,,
JASPER M DUCKETT DITCH-CODWR,JASPER M DUCKETT DITCH-CODWR,,Unspecified,Fresh,,
JEFFRIES DITCH NO 1-CODWR,JEFFRIES DITCH NO 1-CODWR,,Unspecified,Fresh,,
JENNERS POND FEDERAL 13-19-CODWR,JENNERS POND FEDERAL 13-19-CODWR,,Unspecified,Fresh,,
JENNIE DITCH-CODWR,JENNIE DITCH-CODWR,,Unspecified,Fresh,,
J HEIN DITCH NO 1-CODWR,J HEIN DITCH NO 1-CODWR,,Unspecified,Fresh,,
JENSEN WELL NO 14714-R-CODWR,JENSEN WELL NO 14714-R-CODWR,,Unspecified,Fresh,,
JENSEN RES 3-CODWR,JENSEN RES 3-CODWR,,Unspecified,Fresh,,
MCLEOD D NO 3-CODWR,MCLEOD D NO 3-CODWR,,Unspecified,Fresh,,
MCKINNIS POND #2 WELL-CODWR,MCKINNIS POND #2 WELL-CODWR,,Unspecified,Fresh,,
MCGLASHAN W SIDE OHIO CR-CODWR,MCGLASHAN W SIDE OHIO CR-CODWR,,Unspecified,Fresh,,
MCQUEARY DITCH 42-CODWR,MCQUEARY DITCH 42-CODWR,,Unspecified,Fresh,,
MCKNIGHT IRRIGATION POND-CODWR,MCKNIGHT IRRIGATION POND-CODWR,,Unspecified,Fresh,,
MEANS BROS. NO. 11 DITCH-CODWR,MEANS BROS. NO. 11 DITCH-CODWR,,Unspecified,Fresh,,
MEDUSA 21-3-CODWR,MEDUSA 21-3-CODWR,,Unspecified,Fresh,,
MEADOWLARK 41-24-CODWR,MEADOWLARK 41-24-CODWR,,Unspecified,Fresh,,
MCKEE DIVERSION #2-CODWR,MCKEE DIVERSION #2-CODWR,,Unspecified,Fresh,,
MCKEEVER WELL NO 2-CODWR,MCKEEVER WELL NO 2-CODWR,,Unspecified,Fresh,,
MELODY LODGE AUG PLAN DEPLETION REACH-CODWR,MELODY LODGE AUG PLAN DEPLETION REACH-CODWR,,Unspecified,Fresh,,
MAXWELL DITCH NO 20-CODWR,MAXWELL DITCH NO 20-CODWR,,Unspecified,Fresh,,
MCMURRAY WELL 2-R6241-CODWR,MCMURRAY WELL 2-R6241-CODWR,,Unspecified,Fresh,,
MCPHERSON SPRING NO 1-CODWR,MCPHERSON SPRING NO 1-CODWR,,Unspecified,Fresh,,
MCMAHON DITCH (DEER CR)-CODWR,MCMAHON DITCH (DEER CR)-CODWR,,Unspecified,Fresh,,
MCLELLAN DITCH-CODWR,MCLELLAN DITCH-CODWR,,Unspecified,Fresh,,
MCQUEARY SHOEMAKER D HG2-CODWR,MCQUEARY SHOEMAKER D HG2-CODWR,,Unspecified,Fresh,,
MCNEIL-DUPKE D-CODWR,MCNEIL-DUPKE D-CODWR,,Unspecified,Fresh,,
MCQUEARY SHOEMAKER D HG1-CODWR,MCQUEARY SHOEMAKER D HG1-CODWR,,Unspecified,Fresh,,
MCNULTY LIME STATION WELL-CODWR,MCNULTY LIME STATION WELL-CODWR,,Unspecified,Fresh,,
MEEKER POWER DITCH-CODWR,MEEKER POWER DITCH-CODWR,,Unspecified,Fresh,,
MAYFIELD WELL NO 1-CODWR,MAYFIELD WELL NO 1-CODWR,,Unspecified,Fresh,,
MC DANIELS D-CODWR,MC DANIELS D-CODWR,,Unspecified,Fresh,,
MEAD IRRIGATION SYSTEM-CODWR,MEAD IRRIGATION SYSTEM-CODWR,,Unspecified,Fresh,,
MEHRING WELL NO 2-CODWR,MEHRING WELL NO 2-CODWR,,Unspecified,Fresh,,
MEIER WELL 4-09363-CODWR,MEIER WELL 4-09363-CODWR,,Unspecified,Fresh,,
MELBUER WELL NO 11217-F-CODWR,MELBUER WELL NO 11217-F-CODWR,,Unspecified,Fresh,,
MC WILLIAMS DITCH-CODWR,MC WILLIAMS DITCH-CODWR,,Unspecified,Fresh,,
MENAPACE WW OVERPIPE-CODWR,MENAPACE WW OVERPIPE-CODWR,,Unspecified,Fresh,,
MCCLAIN WELL RE-146-CODWR,MCCLAIN WELL RE-146-CODWR,,Unspecified,Fresh,,
MERRIAMS DITCH-CODWR,MERRIAMS DITCH-CODWR,,Unspecified,Fresh,,
MERIDIAN DITCH-CODWR,MERIDIAN DITCH-CODWR,,Unspecified,Fresh,,
MESA IRR DITCH-CODWR,MESA IRR DITCH-CODWR,,Unspecified,Fresh,,
MESA CREEK RES NO 2-CODWR,MESA CREEK RES NO 2-CODWR,,Unspecified,Fresh,,
MESA CREEK RES NO 3-CODWR,MESA CREEK RES NO 3-CODWR,,Unspecified,Fresh,,
MERRIWEATHER DITCH-CODWR,MERRIWEATHER DITCH-CODWR,,Unspecified,Fresh,,
METZ & REIGAN DITCH-CODWR,METZ & REIGAN DITCH-CODWR,,Unspecified,Fresh,,
METHODIST MEADOWS AP WG-CODWR,METHODIST MEADOWS AP WG-CODWR,,Unspecified,Fresh,,
MEYERHOLZ WELL 1-10423-CODWR,MEYERHOLZ WELL 1-10423-CODWR,,Unspecified,Fresh,,
MEYERS PUMP-CODWR,MEYERS PUMP-CODWR,,Unspecified,Fresh,,
MEXICAN RESERVOIR-CODWR,MEXICAN RESERVOIR-CODWR,,Unspecified,Fresh,,
MICHELLE 31-25-CODWR,MICHELLE 31-25-CODWR,,Unspecified,Fresh,,
MICHIGAN HILL AUG RES-CODWR,MICHIGAN HILL AUG RES-CODWR,,Unspecified,Fresh,,
MIATA 14-27-CODWR,MIATA 14-27-CODWR,,Unspecified,Fresh,,
MID CONTINENT WELL # 2-CODWR,MID CONTINENT WELL # 2-CODWR,,Unspecified,Fresh,,
MID VALLEY WELL NO 2-CODWR,MID VALLEY WELL NO 2-CODWR,,Unspecified,Fresh,,
MID CONT PUMP NO 1-CODWR,MID CONT PUMP NO 1-CODWR,,Unspecified,Fresh,,
MCCORMICK RCHRG A 1-CODWR,MCCORMICK RCHRG A 1-CODWR,,Unspecified,Fresh,,
MCDONALD & HALL D-CODWR,MCDONALD & HALL D-CODWR,,Unspecified,Fresh,,
MIDDLE POND-CODWR,MIDDLE POND-CODWR,,Unspecified,Fresh,,
MIDLAND FLUME DITCH-CODWR,MIDLAND FLUME DITCH-CODWR,,Unspecified,Fresh,,
MILENSKI WELL NO 1-CODWR,MILENSKI WELL NO 1-CODWR,,Unspecified,Fresh,,
MCGOWAN IRRIGATING D-CODWR,MCGOWAN IRRIGATING D-CODWR,,Unspecified,Fresh,,
MILK CREEK D ALT PT 1-CODWR,MILK CREEK D ALT PT 1-CODWR,,Unspecified,Fresh,,
POLFER DITCH & PL-CODWR,POLFER DITCH & PL-CODWR,,Unspecified,Fresh,,
PIANO MEADOWS AUG IMPACT REACH-CODWR,PIANO MEADOWS AUG IMPACT REACH-CODWR,,Unspecified,Fresh,,
POMEROY WELL 7-17958-2-CODWR,POMEROY WELL 7-17958-2-CODWR,,Unspecified,Fresh,,
POMONA DITCH-CODWR,POMONA DITCH-CODWR,,Unspecified,Fresh,,
POND #3-CODWR,POND #3-CODWR,,Unspecified,Fresh,,
PONCHA HOT SPRINGS-CODWR,PONCHA HOT SPRINGS-CODWR,,Unspecified,Fresh,,
POND AT TOWERING PINES-CODWR,POND AT TOWERING PINES-CODWR,,Unspecified,Fresh,,
PORTER 31-29-CODWR,PORTER 31-29-CODWR,,Unspecified,Fresh,,
PORCO WELL NO 3-CODWR,PORCO WELL NO 3-CODWR,,Unspecified,Fresh,,
PORTER NO 1 RES-CODWR,PORTER NO 1 RES-CODWR,,Unspecified,Fresh,,
PORTER NO 1 DITCH-CODWR,PORTER NO 1 DITCH-CODWR,,Unspecified,Fresh,,
POWELL PUMP-CODWR,POWELL PUMP-CODWR,,Unspecified,Fresh,,
POTTER DITCH-CODWR,POTTER DITCH-CODWR,,Unspecified,Fresh,,
POTEET PUMP AND PIPELINE-CODWR,POTEET PUMP AND PIPELINE-CODWR,,Unspecified,Fresh,,
POWER LINE DITCH-CODWR,POWER LINE DITCH-CODWR,,Unspecified,Fresh,,
POWERS DITCH-CODWR,POWERS DITCH-CODWR,,Unspecified,Fresh,,
PRATER CANYON-TURKEY SPG-CODWR,PRATER CANYON-TURKEY SPG-CODWR,,Unspecified,Fresh,,
PRDA WELL-CODWR,PRDA WELL-CODWR,,Unspecified,Fresh,,
PITMAN WELL 2-CODWR,PITMAN WELL 2-CODWR,,Unspecified,Fresh,,
PITNEY DITCH NO 4-CODWR,PITNEY DITCH NO 4-CODWR,,Unspecified,Fresh,,
PRENGLE DITCH-CODWR,PRENGLE DITCH-CODWR,,Unspecified,Fresh,,
PRICE LOT 23 WELL-CODWR,PRICE LOT 23 WELL-CODWR,,Unspecified,Fresh,,
PRESERVE NO 1 RESERVOIR-CODWR,PRESERVE NO 1 RESERVOIR-CODWR,,Unspecified,Fresh,,
