FILE_NUMBER,WATER_SOURCE_ID,WITHDRAWAL_WATER_BODY_NAME,WATER_CASE_ID,FILE_TYPE_x,CUSTOMER_NAME_x,TOTAL_PERMIT_QTY,TOTAL_PERMIT_QTY_UNIT,REPORT_FREQ,REPORT_INTERVAL,WATER_CASE_VERIFIED,WATER_SOURCE_TYPE,SOURCE_TYPE,WATER_TYPE,AQUIFER,REAA,ACTIVE_SOURCE,SOURCE_NOTES,HYDROLOGIC_UNIT_CODE,STATE_USE_SOURCE,STATE_USE,WUC_CODE_DESC,WUC_CODE_DESC_SOURCE,USGS_USE,USGS_AREA,BOROUGH,WATER_SOURCE_VERIFIED,INTAKE_NAME,INTAKE_LOCATION,INTAKE_NOTES,WELL_DEPTH,CASING_DEPTH,OPEN_INTERVALS,LAND_SURFACE_ELEVATION_FT,LAND_SURFACE_ELEVATION_SOURCE,WELL_INFO_SOURCE,ACTIVE_INTAKE,SOURCE_INTAKE_VERIFIED,METHODOLOGY,DAILY_PEAK_QTY_UNIT,WATER_SOURCE_USAGE_VERIFIED,FILE_TYPE_y,Priority Date,CUSTOMER_NAME_y,wswc_long,wswc_lat,wswc_QTY,wswc_SiteNativeID
246,1422,Well 13,1421,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,73000000.0,gallons,M,M,T,well,ground,fresh,Cook Inlet Aquifer System,,T,,19020401.0,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,BAN,T,Well 13,POINT (-149.818544983864 61.1632126746014),,357.0,186.25,187.1 to 340 feet,0.0,,log,T,T,metered,gallons,T,,,,-149.818544983864,61.1632126746014,224.02897000000002,WaDEAK_S1
342,16432,Captain's Bay,16431,LAS,OFFSHORE SYSTEMS INC,5840000.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,Captain's Bay,POINT (-166.576600488999 53.8427400775999),,,,,,dem,,T,T,metered,gallons,T,,,,-166.576600488999,53.8427400775999,17.9223176,WaDEAK_S2
802,2684,Big Lake,2683,LAS,HILCORP NORTH SLOPE LLC,34214355.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,Big Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,105.00009191595001,
907,37209,Well 14,37201,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,63875000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Well 14,,,,,,,dem,,T,T,metered,gallons,T,,,,,,196.02534875,
1145,844,Monashka Creek #2,843,LAS,KODIAK CITY OF,60833333.0,gallons,M,M,T,creek,surface,fresh,,,T,augments ADL 42925,19020701.0,hardcopy,Water Supply,Public (Municipal) Community,hardcopy,,,BKO,T,Monashka Creek #2,POINT (-152.462347448999 57.8419015952),,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,-152.462347448999,57.8419015952,186.69080731037002,WaDEAK_S5
1237,20910,Pump 1,20909,LAS,HILL TIMBER HOMEOWNERS ASSN,24637500.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Pump 1,POINT (149.15432 61.34505),,,,,,dem,,T,T,metered,gallons,T,,,,149.15432,61.34505,75.60977737500001,WaDEAK_S6
1237,20912,Pump 2,20909,LAS,HILL TIMBER HOMEOWNERS ASSN,24637500.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Pump 2,POINT (149.15432 61.34505),,,,,,dem,,T,T,metered,gallons,T,,,,149.15432,61.34505,75.60977737500001,WaDEAK_S7
1257,18027,R-25 Creek,18026,LAS,KODIAK CITY OF,365000000.0,gallons,M,M,T,creek,surface,fresh,,,T,,,las,,,las,,,,T,R-25 Creek,,,,,,,dem,,T,T,metered,gallons,T,,,,,,1120.1448500000001,
1453,14462,Bons Creek,14461,LAS,TECK ALASKA INCORPORATED,124800000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Bons Creek,POINT (-162.930074907 68.0264678241999),,,,,,dem,,T,T,metered,gallons,T,,,,-162.930074907,68.0264678241999,382.997472,WaDEAK_S9
1541,9319,Lacy Lane,9308,LAS,WASILLA CITY OF,18000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Lacy Lane,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.05524002,
1541,9320,Mission Hills,9308,LAS,WASILLA CITY OF,18000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Mission Hills,,,,,,,dem,,T,T,metered,gallons,T,,,,,,0.05524002,
1590,37211,GRUENING,37202,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,1205648.7,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,GRUENING,,,,,,,dem,,T,T,metered,gallons,T,,,,,,3.700003238943,
1936,21319,North Slope Assets,21178,LAS,"HILCORP ALASKA, LLC",229950000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Milne Point Unit Well #A-2A,,,,,,,dem,,T,T,metered,gallons,T,,,,,,705.6912555,
1937,21321,North Slope Assets,21179,LAS,"HILCORP ALASKA, LLC",183960000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Milne Point Unit,,,,,,,dem,,T,T,metered,gallons,T,,,,,,564.5530044,
1937,21321,North Slope Assets,21179,LAS,"HILCORP ALASKA, LLC",183960000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Milne Point Unit Well #B-1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,564.5530044,
1938,21324,North Slope Assets,21180,LAS,"HILCORP ALASKA, LLC",229950000.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,MPU Source Water Well CFP-1,,,,,,,dem,,T,T,metered,gallons,T,,,,,,705.6912555,
1942,19976,Salmon Creek,19975,LAS,JUNEAU CITY AND BOR,3650000000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Salmon Creek 1,POINT (-134.46291706 58.3267725014),,,,,,dem,,T,T,metered,gallons,T,,,,-134.46291706,58.3267725014,11201.4485,WaDEAK_S17
1942,19976,Salmon Creek,19975,LAS,JUNEAU CITY AND BOR,3650000000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Salmon Creek 2,POINT (-134.46291706 58.3267725014),,,,,,dem,,T,T,metered,gallons,T,,,,-134.46291706,58.3267725014,11201.4485,WaDEAK_S18
1942,19976,Salmon Creek,19975,LAS,JUNEAU CITY AND BOR,3650000000.0,gallons,M,M,T,river,surface,fresh,,,T,,,las,,,las,,,,T,Salmon Creek,POINT (-134.46291706 58.3267725014),,,,,,dem,,T,T,metered,gallons,T,,,,-134.46291706,58.3267725014,11201.4485,WaDEAK_S19
2280,21341,North Slope Assets,21181,LAS,"HILCORP ALASKA, LLC",30744041.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,L Pad Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,94.35007998449001,
2281,21343,North Slope Assets,21182,LAS,"HILCORP ALASKA, LLC",45987351.63,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,Milne Point Unit Unnamed Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,141.13012354379072,
2282,21345,North Slope Assets,21183,LAS,"HILCORP ALASKA, LLC",11592000.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,MPU B Pad Lake,,,,,,,dem,,T,T,metered,gallons,T,,,,,,35.57457288,
2285,21347,North Slope Assets,21184,LAS,"HILCORP ALASKA, LLC",15328031.0,gallons,M,M,T,well,ground,fresh,,,T,,,las,,,las,,,,T,Mine Site B,,,,,,,dem,,T,T,metered,gallons,T,,,,,,47.04004105559,
2498,3302,Kuparuk Unit,3301,LAS,"CONOCOPHILLIPS ALASKA, INC.",391022.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,K309,,,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,,,1.20000350558,
2498,3302,Kuparuk Unit,3301,LAS,"CONOCOPHILLIPS ALASKA, INC.",391022.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,K309,,,0.0,0.0,,0.0,,,T,T,estimated,gallons,T,,,,,,1.20000350558,
2569,37213,EKLUTNA WTF,37203,LAS,MUNICIPALITY ANCHORAGE WATER AND WASTEWATER UTIL,14965000000.0,gallons,M,M,T,lake,surface,fresh,,,T,,,las,,,las,,,,T,EKLUTNA WTF,,,,,,,dem,,T,T,metered,gallons,T,,,,,,45925.93885,
2762,2764,Kuparuk Unit,2763,LAS,"CONOCOPHILLIPS ALASKA, INC.",37798716.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,K214,,,0.0,0.0,,0.0,,,T,T,metered,gallons,T,,,,,,116.00010154524,
2762,2764,Kuparuk Unit,2763,LAS,"CONOCOPHILLIPS ALASKA, INC.",37798716.0,gallons,M,M,T,lake,surface,fresh,,,T,,,,,,,,,,T,K214,,,0.0,0.0,,0.0,,,T,T,estimated,gallons,T,,,,,,116.00010154524,
