OID_,Join_Count,TARGET_FID,SiteUUID,PODorPOUSite,Longitude,Latitude,OBJECTID,NAME,TYPE,WQMSEG,PRMY_WB,LIMIT,REMARK,WBID,TYPE_DEF,TRANS,GLOBALID,SHAPEAREA,SHAPELEN
1,0,1,OKwr_S1,POD,-101.8963396,36.57472754,,,,,,,,,,,,,
2,0,2,OKwr_S10,POD,-99.04591975,34.58649162,,,,,,,,,,,,,
3,0,3,OKwr_S100,POD,-102.0850708,36.54387355,,,,,,,,,,,,,
4,0,4,OKwr_S1000,POD,-99.8208335,34.5895925,,,,,,,,,,,,,
5,0,5,OKwr_S10000,POD,-99.87825887,35.63107052,,,,,,,,,,,,,
6,0,6,OKwr_S10001,POD,-98.67876682,35.576939,,,,,,,,,,,,,
7,1,7,OKwr_S10002,POD,-98.06907975,35.63568161,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
8,1,8,OKwr_S10003,POD,-98.0713067,35.63751526,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
9,0,9,OKwr_S10004,POD,-98.6091095,35.6141395,,,,,,,,,,,,,
10,1,10,OKwr_S10005,POD,-98.0455131,35.5783512,173,Lake Overholser,NLW,520530,Lake Overholser, ,NLW,5.2052E+11,Nutrient Limited Watersheds,40,{CB32F37A-E3AB-4679-9E9F-75B685C29DDD},1826147022,405124.2118
11,0,11,OKwr_S10006,POD,-99.02994675,35.55794195,,,,,,,,,,,,,
12,0,12,OKwr_S10007,POD,-99.02326325,35.56155132,,,,,,,,,,,,,
13,0,13,OKwr_S10008,POD,-99.02548362,35.564239,,,,,,,,,,,,,
14,0,14,OKwr_S10009,POD,-97.55071965,35.71734015,,,,,,,,,,,,,
15,0,15,OKwr_S1001,POD,-99.14558992,34.54729905,,,,,,,,,,,,,
16,0,16,OKwr_S1001,POD,-99.14558992,34.54729905,,,,,,,,,,,,,
17,0,17,OKwr_S1001,POD,-99.14558992,34.54729905,,,,,,,,,,,,,
18,0,18,OKwr_S10010,POD,-97.55071825,35.71193335,,,,,,,,,,,,,
19,0,19,OKwr_S10011,POD,-97.56407183,35.71213809,,,,,,,,,,,,,
20,0,20,OKwr_S10012,POD,-97.55739644,35.71203523,,,,,,,,,,,,,
21,0,21,OKwr_S10013,POD,-97.557397,35.71735123,,,,,,,,,,,,,
22,0,22,OKwr_S10014,POD,-98.65648461,35.56243525,,,,,,,,,,,,,
23,0,23,OKwr_S10015,POD,-98.95008828,35.55604853,,,,,,,,,,,,,
