OID_,OBJECTID,NAME,TYPE,WQMSEG,PRMY_WB,LIMIT,REMARK,WBID,TYPE_DEF,TRANS,GLOBALID,SHAPEAREA,SHAPELEN
0,1,Ballard Creek,ORW,121700,Upper Illinois River upstream of Barren Fork confluence,ORW, ,121700030370,Outstanding Resource Waters,30,{AF2E7B9B-84A8-426A-B461-7D6E5E31203C},57985700.919076800346375,51843.243830105900997
1,2,Barren Fork from Hwy. 59 to Arkansas State Line,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050170_10,Outstanding Resource Waters,30,{4A1280DC-64F6-470D-9B64-FF244543AE76},189913710.241210013628006,73844.285240469704149
2,3,Barren Fork from mouth upstream to Hwy. 59,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700020310,Outstanding Resource Waters,30,{9E025A08-97E2-46FA-B7AB-F01F0F11236E},485590976.794977009296417,127104.605086829993525
3,4,Beech Creek,ORW,410210,Beech Creek,ORW, ,410210060320,Outstanding Resource Waters,30,{C6BDC707-8863-4A11-8E17-8764C8495FCF},63550568.744865596294403,54524.604974177898839
4,5,Big Eagle Creek,ORW,410210,Big Eagle Creek,ORW, ,410210060160,Outstanding Resource Waters,30,{4BDDFE16-8A4F-4BA1-93D3-D6EC500F67A0},239911793.042811989784241,93175.107568193809129
5,6,Blue Creek,ORW,410210,Boktuklo Creek,ORW, ,410210060110,Outstanding Resource Waters,30,{32796B25-7C2F-4F8C-826A-804BE9ACFA5E},10843834.929152300581336,16040.470518493200871
6,7,Boktuklo Creek,ORW,410210,Boktuklo Creek,ORW, ,410210060100,Outstanding Resource Waters,30,{309DF514-1EE0-4CB1-9230-D910A4107AE3},91195027.806666702032089,59923.295234472403536
7,8,Briar Creek (Bear Creek),ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050030,Outstanding Resource Waters,30,{2DF570CF-ABBF-45AD-96C9-EE55375E816A},37196950.906227797269821,29364.117559036101738
8,9,Cow Creek,ORW,410210,Cow Creek,ORW, ,410210060350,Outstanding Resource Waters,30,{BBFA70B0-918D-4566-954F-C24DFA8584C5},38179707.198714599013329,42082.751605123703484
9,10,Cucumber Creek,ORW,410210,Big Eagle Creek,ORW, ,410210060210,Outstanding Resource Waters,30,{176DD988-63DB-4D0D-B660-00D800A2C292},65623089.604560196399689,39029.506932032003533
10,11,Dennison Hollow,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050110,Outstanding Resource Waters,30,{34E00534-A3E1-4DBC-96A6-8D4FC3053B16},11778279.937587400898337,19831.929109105800308
11,12,England Hollow,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050140,Outstanding Resource Waters,30,{1637C6F6-C9BD-4F0E-9A01-8A2F2A23892F},20253452.128712598234415,22328.025211032800144
12,13,Evansville Creek,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050200,Outstanding Resource Waters,30,{83264376-2CD5-45E9-8B32-CAE8086F0CFE},103554984.921283006668091,54267.206702748902899
13,14,Flint Creek,ORW,121700,Upper Illinois River upstream of Barren Fork confluence,ORW, ,121700030290,Outstanding Resource Waters,30,{97368DBF-F2B6-468B-9756-0A4F2DEB7838},147790366.636851012706757,64946.012666081202042
14,15,Green Creek,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050150,Outstanding Resource Waters,30,{095FD35F-E38B-4B4F-A154-E7ACFB294755},33975742.423025399446487,29227.076275782699668
15,16,Jenkins Creek,ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050050,Outstanding Resource Waters,30,{494FFA5D-533D-4F50-9207-5F0E84A0EB90},38726786.985404998064041,32756.852042789803818
16,17,Lee Creek downstream of the 420 ft. elevation level,ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050010_00,Outstanding Resource Waters,30,{5CD1EEC9-A947-41B9-800A-B04D7C68F5DF},4353003.847812499850988,13651.637345446801191
17,18,Lee Creek upstream from the 420 ft. elevation level,ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050010_10,Outstanding Resource Waters,30,{7A0EE673-69E8-4CCD-9B07-59C466F5E78F},486693880.506901025772095,126384.617310508998344
18,19,Little Eagle Creek,ORW,410210,Big Eagle Creek,ORW, ,410210060170,Outstanding Resource Waters,30,{48CE87C9-0A13-40F7-A12F-5D9430027169},68800080.086247503757477,41051.496534157595306
19,20,Little Lee Creek,ORW,220200,Lee Creek downstream of the 420 ft. elevation level,ORW, ,220200050040,Outstanding Resource Waters,30,{98001030-E9C0-45E2-ABBC-400B54A36323},309647492.927267014980316,101606.761957469992922
20,21,Panther Creek,ORW,410210,Panther Creek,ORW, ,410210050360,Outstanding Resource Waters,30,{46CEF512-608F-48CF-9DFF-B6150811ACDD},15583331.216540999710560,22490.172158293600660
21,22,Peacheater Creek,ORW,121700,Barren Fork from mouth upstream to Hwy. 59,ORW, ,121700050120,Outstanding Resource Waters,30,{BDA31077-D357-48CC-8F66-C286E934C208},64931015.280304402112961,45496.616303381197213
