inVariable,inReportingUnitTypeCV,inReportingUnitName,inReportingUnitNativeID,inYear,inBenUse,inAmount,inTimeframeStart,inTimeframeEnd
Applied Water Use,Planning Area,101,101,2011,Agriculture,347200.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2011,Instream Flow Requirements,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2011,Managed Wetlands,171899.99999999997,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2011,Urban,9000.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2011,Wild and Scenic River,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,101,101,2012,Agriculture,452300.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2012,Instream Flow Requirements,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2012,Managed Wetlands,193299.99999999997,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2012,Required Delta Outflow,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2012,Urban,9700.000000000002,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2012,Wild and Scenic River,0.0,01/01/2012,12/31/2012
Applied Water Use,Planning Area,101,101,2013,Agriculture,432500.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2013,Instream Flow Requirements,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2013,Managed Wetlands,182700.00000000003,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2013,Required Delta Outflow,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2013,Urban,9600.000000000002,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2013,Wild and Scenic River,0.0,01/01/2013,12/31/2013
Applied Water Use,Planning Area,101,101,2014,Agriculture,420999.99999999994,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2014,Instream Flow Requirements,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2014,Managed Wetlands,123500.00000000001,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2014,Required Delta Outflow,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2014,Urban,9600.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2014,Wild and Scenic River,0.0,01/01/2014,12/31/2014
Applied Water Use,Planning Area,101,101,2015,Agriculture,392200.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,101,101,2015,Instream Flow Requirements,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,101,101,2015,Managed Wetlands,112800.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,101,101,2015,Required Delta Outflow,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,101,101,2015,Urban,8300.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,101,101,2015,Wild and Scenic River,0.0,01/01/2015,12/31/2015
Applied Water Use,Planning Area,102,102,2011,Agriculture,33000.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,102,102,2011,Instream Flow Requirements,1538900.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,102,102,2011,Managed Wetlands,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,102,102,2011,Required Delta Outflow,0.0,01/01/2011,12/31/2011
Applied Water Use,Planning Area,102,102,2011,Urban,11200.0,01/01/2011,12/31/2011
