MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,89.07131598,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1979,,1979-12-31,1979-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,102.188634,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1980,,1980-12-31,1980-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,88.42680573,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,80.22311103,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,69.70531764,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,80.54843525,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,168.1404468,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,82.96381413,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,84.14234715,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1987,,1987-12-31,1987-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,87.24520362,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1988,,1988-12-31,1988-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,96.0627176,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1989,,1989-12-31,1989-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,105.4602908,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,113.60260359999998,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,125.5935632,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1992,,1992-12-31,1992-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,127.1987007,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1993,,1993-12-31,1993-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,144.0112108,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1994,,1994-12-31,1994-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,149.2409511,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1995,,1995-12-31,1995-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,186.039417,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1996,,1996-12-31,1996-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,168.530222,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1997,,1997-12-31,1997-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,187.21488090000003,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1998,,1998-12-31,1998-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,222.0614016,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,1999,,1999-12-31,1999-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,198.35877,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2000,,2000-12-31,2000-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,205.5288912,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2001,,2001-12-31,2001-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,310.0975113,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2002,,2002-12-31,2002-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,172.72769630000005,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2003,,2003-12-31,2003-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,224.39133680000003,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2004,,2004-12-31,2004-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,149.3871002,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2005,,2005-12-31,2005-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,64.3440375,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2006,,2006-12-31,2006-01-01
UDWR_Water Use Data,UDWR,UTSS_S1,UDWR_Site Specific Withdrawal,UTSS_WS1,174.58063710000005,,,Irrigation,,,,10/29/2020,,,,,,,,Irrigation,2007,,2007-12-31,2007-01-01
