MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWRi_Water Use Data,UDWRi,UTSS_S4,UDWRi_Site Specific Withdrawal,UTSS_WS4,6904408.0,,,Water Supplier,Provo City Water Resources Division (Culinary),,Public,10/29/2020,,,,,116713.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S4,UDWRi_Site Specific Withdrawal,UTSS_WS4,7899853.866,,,Water Supplier,Provo City Water Resources Division (Culinary),,Public,10/29/2020,,,,,117331.0,,,Water Supplier,2018,,2018-12-31,2018-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S5,UDWRi_Site Specific Withdrawal,UTSS_WS5,8110279.131,,,Industrial,Provo City Water Resources Division (Culinary),,Public,10/29/2020,,,,,109645.0,,,Industrial,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S5,UDWRi_Site Specific Withdrawal,UTSS_WS5,7970666.518999998,,,Industrial,Provo City Water Resources Division (Culinary),,Public,10/29/2020,,,,,110418.0,,,Industrial,1999,,1999-12-31,1999-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S5,UDWRi_Site Specific Withdrawal,UTSS_WS5,7591035.155,,,Industrial,Provo City Water Resources Division (Culinary),,Public,10/29/2020,,,,,109000.0,,,Industrial,1998,,1998-12-31,1998-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,5322.804,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,35.0,,,Water Supplier,2019,,2019-12-31,2019-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.201,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2009,,2009-12-31,2009-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.201,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2008,,2008-12-31,2008-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.201,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2007,,2007-12-31,2007-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.201,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2006,,2006-12-31,2006-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.872727,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2003,,2003-12-31,2003-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.872727,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,38.0,,,Water Supplier,2002,,2002-12-31,2002-01-01
UDWRi_Water Use Data,UDWRi,UTSS_S6,UDWRi_Site Specific Withdrawal,UTSS_WS6,9672.872727,,,Water Supplier,South Robinson Spring Water Users,,Public,10/29/2020,,,,,40.0,,,Water Supplier,2001,,2001-12-31,2001-01-01
