RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate,RegulatoryOverlayTypeCV,WaterSourceTypeCV
NMre_RO19,Town of Taos,"Currently allows new 72-12-1, not annexed.  may be limited in the future.",Taos - 72-12-1 wells allowed - 2013,WaDENM_RE19,Active,,,3/25/2003 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO20,City of Santa Fe,Authorization from the City of Santa Fe must be obtained for 72-12-1 domestic well application for permit,Santa Fe Domestic Well Ordinance,WaDENM_RE20,Active,,,1/28/2014 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO21,Office of the State Engineer,"No new appropriations from NMSA 72-12-3 wells, NMSA 72-12-1 wells limited to 0.5 acre ft. per annum.",Estancia Basin CMA,WaDENM_RE21,Active,,,1/1/2002 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO22,Office of the State Engineer,Restricted access to the upper or first water zone requires condition 2.,Estancia Poor Quality Area,WaDENM_RE22,Active,,,1/1/2002 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO23,Office of the State Engineer,No new applications for groundwater or surface water except NMSA 72-12-1 wells.,Roswell CMA,WaDENM_RE23,Active,,,2/10/2005 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO24,Office of the State Engineer,"One household, not to exceed 0.6 acre-feet per annum diversion and 0.17 acre-feet per annum consumptive use on not to exceed 0.1 acre of non-commercial lawn, garden, and trees.",San Simon Restrictions,WaDENM_RE24,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO25,Office of the State Engineer,Applications will be evaluated using the MRGAA guidelines,MRG Administrative Area,WaDENM_RE25,Active,,,9/13/2000 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO27,New Mexico Environment Department,Heath Advisory must be given to all permittees. All present and future well owners and users of private wells are advised to sample their wells to ensure that the quality of their well water does not pose health concerns,San Mateo Creek Health Advisory,WaDENM_RE27,Active,,,12/19/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO28,Office of the State Engineer,72-12-3 applications to appropriate from High Plains aquifer shall be rejected.  Guidelines do not apply to permits under 72-12-1,Curry-Portales Underground Water Basins,WaDENM_RE28,Active,,,6/2/2010 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO29,Office of the State Engineer,Authorization from the State Engineer must be obtained for all permits.,Albuquerque CMA,WaDENM_RE29,Active,,,9/22/2000 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO30,Office of the State Engineer,"No new groundwater wells, with the exception of remediation and monitoring wells, shall be permitted within the area surrounding the site's contaminated groundwater.",AT&SF ABQ Superfund Site,WaDENM_RE30,Active,,,1/29/2009 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO31,City of Elephant Butte,No new groundwater wells within the Lakeshore City Sanitation District shall be permitted.,City of E.B. Domestic well restrictions,WaDENM_RE31,Active,,,8/1/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO32,Office of the State Engineer,New domestic wells require transfer and replacement wells may require county approval. See rule and settlement for more info.,NPT Domestic Well Stipulation,WaDENM_RE32,Active,,,9/12/2017 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO33,New Mexico Environment Department,"No wells drilled - """"mandatory connection of homes or other facilities within the City to the Public sewer and water system . . .""""",Grants Chlorinated Solvents Plume,WaDENM_RE33,Active,,,9/14/2012 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO34,City of Truth or Consequences,No domestic wells within city limits without permission from the city's utlity manager,Truth or Consequences,WaDENM_RE34,Active,,,8/2/1992 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO35,Office of the State Engineer,"Jal Underground Basin is closed for an indefinite period of time to the filing of 72-12-3 wells, all applications for filing shall be rejected",Jal Basin,WaDENM_RE35,Active,,,1/25/2013 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO36,New Mexico Environment Department,"Add the following language to all well permits.  WARNING: The NMED - GW Quality Bureau, Superfund Oversight Section has determined that there may be contaminated GW within the area of this well.  Call 505-827-2900 for additional info.",Old Gulton Industries Site,WaDENM_RE36,Active,,,1/30/2003 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO37,New Mexico Environment Department,"No new approp. of GW, inc. new 72-12-1 wells,  & no transfers of either SW or GW to exist.",North Railroad Avenue Plume,WaDENM_RE37,Active,,,7/13/2001 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO38,Village of Taos,No New 72-12-1 Wells will be drilled unless written approval from Village of TSV.,Village of Taos Ski Valley,WaDENM_RE38,Active,,,11/18/2003 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO39,EPA and NMENV,"Restrictions for new appropriations, including 72-12-1.1, 72-12-1.2 and 72-12-1.3",Griggs & Walnut GW Plume Superfund Site,WaDENM_RE39,Active,,,10/13/2011 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO40,Village of Questa,All permits for new 72-12 wells must be approved by village's governing body before they can be drilled,Village of Questa Ordinance 24,WaDENM_RE40,Active,,,9/23/1996 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO41,Office of the State Engineer,Applications will be evaluated using the Tularosa Underground Water Basin Administrative Criteria,Alamogordo-Tularosa Administrative Area,WaDENM_RE41,Active,,,5/1/1997 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO42,Office of the State Engineer,Applications will be evaluated using the Tularosa Underground Water Basin Administrative Criteria,Alamogordo-Tularosa Administrative Model Area,WaDENM_RE42,Active,,,5/1/1997 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO43,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Virden Area,WaDENM_RE43,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO44,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Redrock Area,WaDENM_RE44,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO45,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Luna Area,WaDENM_RE45,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO46,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-AC-Aragon Area,WaDENM_RE46,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO47,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Reserve Area,WaDENM_RE47,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO48,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Upper Gila Area,WaDENM_RE48,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO49,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Gwd-Mule Creek,WaDENM_RE49,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO50,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Cliff-Gila,WaDENM_RE50,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO51,Office of the State Engineer,"One household. Use restricted to household, drinking and/or sanitary purposes, no outdoor use allowed.",GSF Basin Restrictions-Virden Valley,WaDENM_RE51,Active,,,10/20/1960 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO53,ABQ,"Restricted drilling of new domestic wells, except for property zoned as agricultural, new dom wells need OSE approval",Village of Magdalena Ordinance 2014 04,WaDENM_RE53,Active,,,11/24/2014 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO54,El Prado Water and Sanitation District,send copy permits for new well within area to El Prado Water and Sanitation District.,El Prado WSD - No new 72-12-1 wells,WaDENM_RE54,Active,,,2/5/2003 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO55,Office of the State Engineer,Restricted access to the shallow water zone < 300 feet. Domestic and non-domestic.,South Valley QRA-Min Well Depth Area,WaDENM_RE55,Active,,,12/1/1988 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO56,Office of the State Engineer,"It is unlawful for any person or persons to drill new wells, or transfer either surface or groundwater to existing wells within this area.",Fruit Ave. Plume Superfund Site,WaDENM_RE56,Active,,,7/15/2003 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO57,New Mexico Environment Department,Restrict permitting of new wells in order to protect human health and prevent interference with planned groundwater remediation.,Prices Valley Gold North Diary,WaDENM_RE57,Active,,,2/7/2017 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO58,Office of the State Engineer,"Applications for surface and groundwater appropriations and transfers inclusive of 72-12-1.1, 72-12-1.2, 72-12-1.3 and 72-12-3 NMSA will be evaluated using the MVAA guidelines and subject to metering order.",Mesilla Valley Administrative Area CMA,WaDENM_RE58,Active,,,1/5/1999 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO60,NMED WQCC,"Restrictions are in perpetuity, applicable to proposed water wells (public or private) excluding monitroing wells",St.Anthony Mine,WaDENM_RE60,Active,,,1/12/2018 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO61,NMED,"No new appropriations of groundwater including new wells, no changes to the point of diversion of any existing water rights to wells shall be allowed within the area except for those needed by NMED for remediation.",BNSF Grants Depot Site,WaDENM_RE61,Active,,,1/25/2018 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO62,NMED,"No new appropriations of gw including new wells, no changes to POD of any existing wells within AOI, Restrictions shall remain in perpetuity or until contaminates have decreased to levels less than WQCC standards.",BNSF Grants Depot  Benzene Plume,WaDENM_RE62,Active,,,1/25/2018 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO63,"NRC, EPA, DOE, NMED","Prohibit drilling of new, replacement, or supplemental wells within the area of the site",Chinle Moratorium,WaDENM_RE63,Active,,,2/15/2018 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO64,"NRC, EPA, DOE, NMED","Prohibit drilling of new, replacement, or supplemental wells",Homestake/Bluewater Moratorium 2017,WaDENM_RE64,Active,,,2/15/2018 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO65,Office of the State Engineer,Applications will be evaluated using the Lea County Underground Water Basin Administrative Criteria.,Lea County Critical Management Area,WaDENM_RE65,Active,,,9/14/2009 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO66,NMENV,"No New Appropriations of gw, no new wells,replacement or supplemental. no change to point of diversion of any existing water rights shall be allowed in area",Pecos Mine Operable Unit,WaDENM_RE66,Active,,,1/28/2019 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO67,Office of the State Engineer,"Applications filed pursuant to 72-12-3, 72-12-7, 72-6-1 through 72-6-7 and 72-12-22 through 72-12-24 NMSA 1978, will be evaluated using the Animas Underground Water Basin Administrative Criteria.  Metering is required on all new wells drilled.",Animas Guidelines CMA,WaDENM_RE67,Active,,,7/18/2016 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO68,Office of the State Engineer,"Applications filed under NMSA 1978, Section 72-12-3, 72-12-7, 72-6-1 through 72-6-7, 72-12-1.3 and 72-12-22 through 72-12-24. evaluated using the Lordsburg Underground Water Basin Administrative Criteria. Metering is required on all wells drilled",Lordsburg Valley CMA,WaDENM_RE68,Active,,,1/10/2019 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO69,Office of the State Engineer,"Applications filed pursuant to 72-12-3 NMSA will be rejected. Applies to applications filed pursuant to 72-12-7, 72-6-1 through 72-6-7, 72-12-1.3, and 72-12-22 through 72-12-24. Metering is required on all new wells drilled.",Eastern portion of the Clayton CMA,WaDENM_RE69,Active,,,1/10/2019 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO70,Office of the State Engineer,"Applications filed pursuant to 72-12-3 NMSA will be rejected. Applies to applications filed pursuant to 72-12-7, 72-6-1 through 72-6-7, 72-12-1.3, and 72-12-22 through 72-12-24. Metering is required on all new wells drilled.",Eastern Clayton Basin Administrative Area,WaDENM_RE70,Active,,,1/10/2019 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO71,Office of the State Engineer,Closed to New Appropriations,Animas UG Water Basin Guidelines,WaDENM_RE71,Active,,,7/18/2016 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO72,Village of Ruidoso,Restriction of new domestic water well except for agricultural zones and if Domestic Well Applicant is within 300' of a municipal distribution water line,Ruidoso Domestic Well Restriction,WaDENM_RE72,Active,,,5/11/2004 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO73,Office of the State Engineer,"To promote the orderly development of water resources in the DCAA while meeting statutory obligations regarding impairment, conservation of water within the state, and public welfare of the state",Deming-Columbus Administrative Area,WaDENM_RE73,Active,,,5/20/2011 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO74,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Harold Green,WaDENM_RE74,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO75,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Herb Bindel,WaDENM_RE75,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO76,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",State Parks State Parks,WaDENM_RE76,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO77,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Sammuel Burkham,WaDENM_RE77,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO78,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Phil Troost,WaDENM_RE78,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO79,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Steve Lewis,WaDENM_RE79,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO80,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Larry Waggoner,WaDENM_RE80,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO81,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Juan Villa/,WaDENM_RE81,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO82,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",George Annis,WaDENM_RE82,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO83,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Dale Johnson,WaDENM_RE83,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO84,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Albert Carter,WaDENM_RE84,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO85,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",John Krasowsky,WaDENM_RE85,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO86,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Barney Green,WaDENM_RE86,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO87,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Johnny Nelson,WaDENM_RE87,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO88,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Reed Kimbley,WaDENM_RE88,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO89,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Calumet Calumet,WaDENM_RE89,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO90,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Arlys Finch,WaDENM_RE90,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO91,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Roy Bowman,WaDENM_RE91,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO92,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Richard Vaughan,WaDENM_RE92,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO93,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Bill Shepard,WaDENM_RE93,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO94,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Willow Lake,WaDENM_RE94,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO95,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Stuart Bogle,WaDENM_RE95,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO96,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Hayden Kimbley,WaDENM_RE96,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO97,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Roger Manning,WaDENM_RE97,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO98,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Maude Pirtle Trust,WaDENM_RE98,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO99,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Henry Wunsch,WaDENM_RE99,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO100,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Vasquez Ignacio,WaDENM_RE100,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO101,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.","Thompson & Martinez Mark & Melinda, Greg",WaDENM_RE101,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO102,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Rustler Hills,WaDENM_RE102,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO103,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Brantley Brothers,WaDENM_RE103,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO104,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",John & Betty Draper & Brantley,WaDENM_RE104,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO105,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",George & Nancy Brantley,WaDENM_RE105,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
NMre_RO106,Interstate Stream Commission,"Land sold pursuant to this section shall be subject to deed restrictions to ensure that no new water development or use, including the drilling of domestic wells.",Ceclia Valdez,WaDENM_RE106,Active,,,2/27/2008 0:00,,Special Condition Water Right,Surface and Groundwater
