OBJECTID,polygon id,app,cert,app_status,mou,site_name,permit_info,basin,county,source,duty_balance,div_balance,prior_dt,pou_acre_total,Shape__Area,Shape__Length
1,1,71417,,CAN,QM ,212  S19 E60 22ACBA1,http://water.nv.gov/permitinformation.aspx?app=71417,212 ,CL,UG ,3.5,0.005,8/15/2006 12:00:00 AM,0,77973.873046875,1193.8344908714
2,2,,,,,,,,,,,,,,5535.21728515625,311.704646454142
3,3,66812,,ABR,COM,212  S19 E61 26BBBB1,http://water.nv.gov/permitinformation.aspx?app=66812,212 ,CL,UG ,0,0,2/19/1952 12:00:00 AM,0,10278.828125,405.549609864578
4,4,,,,,,,,,,,,,,18324.9943847656,583.916282556578
5,5,67154,,CAN,QM ,212  S20 E60 13DCDC1,http://water.nv.gov/permitinformation.aspx?app=67154,212 ,CL,UG ,4,0.0056,2/19/1952 12:00:00 AM,0,2334.72680664063,203.297726669048
6,6,67214,18271   ,CER,QM ,212  S20 E60 04BABB1,http://water.nv.gov/permitinformation.aspx?app=67214,212 ,CL,UG ,2,0.0106,2/19/1952 12:00:00 AM,0,8009.5830078125,358.572342812379
7,7,67820,17075   ,CER,QM ,212  S20 E62 28BDBD1,http://water.nv.gov/permitinformation.aspx?app=67820,212 ,CL,UG ,1,0.0014,2/19/1952 12:00:00 AM,0,3074.1689453125,262.526844774471
8,8,67831,17076   ,CER,QM ,212  S20 E62 28BDBA1,http://water.nv.gov/permitinformation.aspx?app=67831,212 ,CL,UG ,1,0.0014,2/19/1952 12:00:00 AM,0,2844.56518554688,236.126847588946
9,9,68252,17079   ,CER,QM ,212  S19 E60 23AABD1,http://water.nv.gov/permitinformation.aspx?app=68252,212 ,CL,UG ,1,0.0053,2/19/1952 12:00:00 AM,0,8449.60546875,457.946774868252
10,10,62387,15096   ,CER,QM ,105  N12 E20 20AABB1,http://water.nv.gov/permitinformation.aspx?app=62387,105 ,DO,UG ,29.645574,0.411,6/28/1966 12:00:00 AM,0,11353366.902832,23724.9788149614
