ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2000,12,16,1,1,167201,N,1,1-Jan,31-Dec
TWDB,2000,13,16,1,1,10460,N,1,1-Jan,31-Dec
TWDB,2000,1,16,1,1,28210,N,1,1-Jan,31-Dec
TWDB,2000,14,16,1,1,76251,N,1,1-Jan,31-Dec
TWDB,2000,15,16,1,1,3548,N,1,1-Jan,31-Dec
TWDB,2000,4,16,1,1,8414,N,1,1-Jan,31-Dec
TWDB,2000,18,16,1,1,43282,N,1,1-Jan,31-Dec
TWDB,2000,16,16,1,1,7040,N,1,1-Jan,31-Dec
TWDB,2000,17,16,1,1,730,N,1,1-Jan,31-Dec
TWDB,2000,6,16,1,1,76382,N,1,1-Jan,31-Dec
TWDB,2000,7,16,1,1,9091,N,1,1-Jan,31-Dec
TWDB,2000,21,16,1,1,35705,N,1,1-Jan,31-Dec
TWDB,2000,22,16,1,1,18997,N,1,1-Jan,31-Dec
TWDB,2000,2,16,1,1,47489,N,1,1-Jan,31-Dec
TWDB,2000,23,16,1,1,135277,N,1,1-Jan,31-Dec
TWDB,2000,5,16,1,1,38089,N,1,1-Jan,31-Dec
TWDB,2000,19,16,1,1,257277,N,1,1-Jan,31-Dec
TWDB,2000,20,16,1,1,6472,N,1,1-Jan,31-Dec
TWDB,2000,10,16,1,1,375562,N,1,1-Jan,31-Dec
TWDB,2000,11,16,1,1,61415,N,1,1-Jan,31-Dec
TWDB,2000,3,16,1,1,6701,N,1,1-Jan,31-Dec
TWDB,2000,8,16,1,1,94618,N,1,1-Jan,31-Dec
TWDB,2000,9,16,1,1,1386,N,1,1-Jan,31-Dec
TWDB,2000,12,17,1,1,241946,N,1,1-Jan,31-Dec
TWDB,2000,13,17,1,1,971,N,1,1-Jan,31-Dec
TWDB,2000,1,17,1,1,14057,N,1,1-Jan,31-Dec
TWDB,2000,14,17,1,1,244829,N,1,1-Jan,31-Dec
TWDB,2000,15,17,1,1,141,N,1,1-Jan,31-Dec
TWDB,2000,4,17,1,1,12256,N,1,1-Jan,31-Dec
TWDB,2000,18,17,1,1,25355,N,1,1-Jan,31-Dec
TWDB,2000,16,17,1,1,0,N,1,1-Jan,31-Dec
TWDB,2000,17,17,1,1,2187,N,1,1-Jan,31-Dec
TWDB,2000,6,17,1,1,44305,N,1,1-Jan,31-Dec
TWDB,2000,7,17,1,1,27599,N,1,1-Jan,31-Dec
TWDB,2000,21,17,1,1,5072,N,1,1-Jan,31-Dec
TWDB,2000,22,17,1,1,202834,N,1,1-Jan,31-Dec
TWDB,2000,2,17,1,1,69504,N,1,1-Jan,31-Dec
TWDB,2000,23,17,1,1,95415,N,1,1-Jan,31-Dec
TWDB,2000,5,17,1,1,48954,N,1,1-Jan,31-Dec
TWDB,2000,19,17,1,1,5960,N,1,1-Jan,31-Dec
TWDB,2000,20,17,1,1,14751,N,1,1-Jan,31-Dec
TWDB,2000,10,17,1,1,257509,N,1,1-Jan,31-Dec
TWDB,2000,11,17,1,1,75332,N,1,1-Jan,31-Dec
TWDB,2000,3,17,1,1,22850,N,1,1-Jan,31-Dec
TWDB,2000,8,17,1,1,1055045,N,1,1-Jan,31-Dec
TWDB,2000,9,17,1,1,122456,N,1,1-Jan,31-Dec
TWDB,2000,12,13,1,1,47774,N,1,1-Jan,31-Dec
TWDB,2000,13,13,1,1,1441,N,1,1-Jan,31-Dec
TWDB,2000,1,13,1,1,41998,N,1,1-Jan,31-Dec
TWDB,2000,14,13,1,1,7139,N,1,1-Jan,31-Dec
TWDB,2000,15,13,1,1,222,N,1,1-Jan,31-Dec
TWDB,2000,4,13,1,1,593,N,1,1-Jan,31-Dec
TWDB,2000,18,13,1,1,3128,N,1,1-Jan,31-Dec
TWDB,2000,16,13,1,1,1784,N,1,1-Jan,31-Dec
TWDB,2000,17,13,1,1,4,N,1,1-Jan,31-Dec
TWDB,2000,6,13,1,1,66220,N,1,1-Jan,31-Dec
TWDB,2000,7,13,1,1,26,N,1,1-Jan,31-Dec
TWDB,2000,21,13,1,1,2320,N,1,1-Jan,31-Dec
TWDB,2000,22,13,1,1,3311,N,1,1-Jan,31-Dec
TWDB,2000,2,13,1,1,13462,N,1,1-Jan,31-Dec
TWDB,2000,23,13,1,1,8602,N,1,1-Jan,31-Dec
TWDB,2000,5,13,1,1,4768,N,1,1-Jan,31-Dec
TWDB,2000,19,13,1,1,12925,N,1,1-Jan,31-Dec
TWDB,2000,20,13,1,1,83,N,1,1-Jan,31-Dec
TWDB,2000,10,13,1,1,17436,N,1,1-Jan,31-Dec
TWDB,2000,11,13,1,1,6823,N,1,1-Jan,31-Dec
TWDB,2000,3,13,1,1,403,N,1,1-Jan,31-Dec
TWDB,2000,8,13,1,1,6881,N,1,1-Jan,31-Dec
TWDB,2000,9,13,1,1,63,N,1,1-Jan,31-Dec
TWDB,2000,12,14,1,1,94692,N,1,1-Jan,31-Dec
TWDB,2000,13,14,1,1,28160,N,1,1-Jan,31-Dec
TWDB,2000,1,14,1,1,3010,N,1,1-Jan,31-Dec
TWDB,2000,14,14,1,1,27283,N,1,1-Jan,31-Dec
TWDB,2000,15,14,1,1,17553,N,1,1-Jan,31-Dec
TWDB,2000,4,14,1,1,55742,N,1,1-Jan,31-Dec
TWDB,2000,18,14,1,1,26093,N,1,1-Jan,31-Dec
TWDB,2000,16,14,1,1,0,N,1,1-Jan,31-Dec
TWDB,2000,17,14,1,1,23084,N,1,1-Jan,31-Dec
TWDB,2000,6,14,1,1,74311,N,1,1-Jan,31-Dec
TWDB,2000,7,14,1,1,131314,N,1,1-Jan,31-Dec
TWDB,2000,21,14,1,1,8798,N,1,1-Jan,31-Dec
TWDB,2000,22,14,1,1,41968,N,1,1-Jan,31-Dec
TWDB,2000,2,14,1,1,5646,N,1,1-Jan,31-Dec
TWDB,2000,23,14,1,1,169,N,1,1-Jan,31-Dec
TWDB,2000,5,14,1,1,66091,N,1,1-Jan,31-Dec
TWDB,2000,19,14,1,1,297,N,1,1-Jan,31-Dec
TWDB,2000,20,14,1,1,1938,N,1,1-Jan,31-Dec
TWDB,2000,10,14,1,1,193297,N,1,1-Jan,31-Dec
TWDB,2000,11,14,1,1,117999,N,1,1-Jan,31-Dec
TWDB,2000,3,14,1,1,124968,N,1,1-Jan,31-Dec
TWDB,2000,8,14,1,1,48920,N,1,1-Jan,31-Dec
TWDB,2000,9,14,1,1,76366,N,1,1-Jan,31-Dec
TWDB,2000,12,7,1,1,3288,N,1,1-Jan,31-Dec
TWDB,2000,13,7,1,1,964,N,1,1-Jan,31-Dec
TWDB,2000,1,7,1,1,392,N,1,1-Jan,31-Dec
TWDB,2000,14,7,1,1,5013,N,1,1-Jan,31-Dec
TWDB,2000,15,7,1,1,1349,N,1,1-Jan,31-Dec
TWDB,2000,4,7,1,1,1,N,1,1-Jan,31-Dec
TWDB,2000,18,7,1,1,12125,N,1,1-Jan,31-Dec
TWDB,2000,16,7,1,1,0,N,1,1-Jan,31-Dec
TWDB,2000,17,7,1,1,0,N,1,1-Jan,31-Dec
TWDB,2000,6,7,1,1,10,N,1,1-Jan,31-Dec
TWDB,2000,7,7,1,1,133,N,1,1-Jan,31-Dec
TWDB,2000,21,7,1,1,426,N,1,1-Jan,31-Dec
TWDB,2000,22,7,1,1,4958,N,1,1-Jan,31-Dec
TWDB,2000,2,7,1,1,25,N,1,1-Jan,31-Dec
TWDB,2000,23,7,1,1,770,N,1,1-Jan,31-Dec
TWDB,2000,5,7,1,1,295,N,1,1-Jan,31-Dec
TWDB,2000,19,7,1,1,7993,N,1,1-Jan,31-Dec
TWDB,2000,20,7,1,1,0,N,1,1-Jan,31-Dec
TWDB,2000,10,7,1,1,3002,N,1,1-Jan,31-Dec
TWDB,2000,11,7,1,1,39,N,1,1-Jan,31-Dec
TWDB,2000,3,7,1,1,67,N,1,1-Jan,31-Dec
TWDB,2000,8,7,1,1,173,N,1,1-Jan,31-Dec
TWDB,2000,9,7,1,1,910,N,1,1-Jan,31-Dec
TWDB,2000,12,8,1,1,4803,N,1,1-Jan,31-Dec
