AllocationNativeID,MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCVPopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,OwnerClassificationCV,PopulationServed
A-10003,NEDNR_Water Rights,NEDNR,"NEwr_S10722,NEwr_S10723",NEDNR_Allocation,,,,,,,,,,Active,,1961-12-21,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10009,NEDNR_Water Rights,NEDNR,"NEwr_S2043,NEwr_S2045,NEwr_S2042,NEwr_S2044",NEDNR_Allocation,,,,,,,,,,Active,,1962-01-17,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10013,NEDNR_Water Rights,NEDNR,"NEwr_S2075,NEwr_S2076",NEDNR_Allocation,,,,,,,,,,Active,,1962-02-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10014,NEDNR_Water Rights,NEDNR,"NEwr_S4766,NEwr_S4767",NEDNR_Allocation,,,,,,,,,,Active,,1962-02-13,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10020,NEDNR_Water Rights,NEDNR,"NEwr_S4496,NEwr_S4495,NEwr_S4497",NEDNR_Allocation,,,,,,,,,,Active,,1961-02-06,,09/30,04/01,,14.0,Storage Use-only,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10024,NEDNR_Water Rights,NEDNR,NEwr_S1907,NEDNR_Allocation,,,,,,,,,,Active,,1962-03-01,,09/30,04/01,,2500.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10025,NEDNR_Water Rights,NEDNR,NEwr_S1905,NEDNR_Allocation,,,,,,,,,,Active,,1962-03-01,,09/30,04/01,,3200.0,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10026,NEDNR_Water Rights,NEDNR,NEwr_S1965,NEDNR_Allocation,,,,,,,,,,Active,,1962-03-05,,09/30,04/01,,26.4,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10028,NEDNR_Water Rights,NEDNR,"NEwr_S10453,NEwr_S10454",NEDNR_Allocation,,,,,,,,,,Active,,1962-03-08,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10033,NEDNR_Water Rights,NEDNR,NEwr_S1985,NEDNR_Allocation,,,,,,,,,,Active,,1962-03-20,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10034,NEDNR_Water Rights,NEDNR,NEwr_S7116,NEDNR_Allocation,,,,,,,,,,Active,,1962-03-20,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10035,NEDNR_Water Rights,NEDNR,"NEwr_S1962,NEwr_S1963",NEDNR_Allocation,,,,,,,,,,Active,,1962-03-22,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10039,NEDNR_Water Rights,NEDNR,NEwr_S1890,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-06,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10040,NEDNR_Water Rights,NEDNR,NEwr_S7361,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-09,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10042,NEDNR_Water Rights,NEDNR,NEwr_S3936,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-11,,09/30,04/01,,44.2,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10046,NEDNR_Water Rights,NEDNR,NEwr_S10401,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-24,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10047,NEDNR_Water Rights,NEDNR,NEwr_S1987,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-24,,09/30,04/01,,29.1,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10048,NEDNR_Water Rights,NEDNR,NEwr_S1988,NEDNR_Allocation,,,,,,,,,,Active,,1962-04-24,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10054,NEDNR_Water Rights,NEDNR,NEwr_S10416,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-01,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10055,NEDNR_Water Rights,NEDNR,NEwr_S1880,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-01,,09/30,04/01,,49.9,Storage,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10056,NEDNR_Water Rights,NEDNR,NEwr_S1860,NEDNR_Allocation,,,,,,,,,,Active,,1962-05-02,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
A-10061,NEDNR_Water Rights,NEDNR,"NEwr_S7288,NEwr_S7287",NEDNR_Allocation,,,,,,,,,,Active,,1962-05-21,,09/30,04/01,,0,Irrigation from Natural Stream,,,,01/04/2021,,0,,,,,,,Unspecified,,Unspecified,
