SiteID,SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,StateCV,HUC8,HUC12,County,PODorPOUSite,WaterSourceID
3300905,CAss_S1,CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,NULL,Water Service Area,-122.0273033,37.73436363,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ALAMEDA,POU,114936
3300957,CAss_S1005,CA2900531,CREEKSIDE VILLAGE,NULL,Water Service Area,-121.1769814,39.19951001,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3300988,CAss_S1009,CA2910002,CITY OF NEVADA CITY,NULL,Water Service Area,-121.0200403,39.26100931,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301022,CAss_S1014,CA2910013,WASHINGTON RIDGE C.C.,NULL,Water Service Area,-120.934734,39.30735878,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301033,CAss_S1016,CA2910016,DONNER SUMMIT PUBLIC UTILITY DISTRICT,NULL,Water Service Area,-120.3608625,39.33714546,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301295,CAss_S105,CA0710800,DWR DELTA FIELD DIVISION - BANKS PP,NULL,Water Service Area,-121.6025583,37.79664386,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,CONTRA COSTA,POU,114936
3301375,CAss_S106,CA0800526,REDWOOD PARK C.S.D.,NULL,Water Service Area,-124.0699764,41.57292707,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,DEL NORTE,POU,114936
3301382,CAss_S1062,CA3100058,DUTCH FLAT MUTUAL,NULL,Water Service Area,-120.8366244,39.20606837,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLACER,POU,114936
3301383,CAss_S1063,CA3100061,SIERRA MEADOWS APARTMENT,NULL,Water Service Area,-121.2035591,38.81010638,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLACER,POU,114936
3301506,CAss_S1090,CA3110028,NORTHSTAR C.S.D.,NULL,Water Service Area,-120.1244628,39.27248847,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLACER,POU,114936
3301559,CAss_S1098,CA3110044,TAHOE CITY PUD - ALPINE PEAKS,NULL,Water Service Area,-120.2171046,39.14626478,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLACER,POU,114936
3301572,CAss_S110,CA0800825,JED SMITH HOMEOWNERS ASSN.,NULL,Water Service Area,-124.1049137,41.84133399,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,DEL NORTE,POU,114936
3301615,CAss_S1108,CA3200107,GRIZZLY LAKE CSD-CROCKER/WELCH,NULL,Water Service Area,-120.4550692,39.87404262,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301641,CAss_S1112,CA3200188,GREENHORN CREEK CSD,NULL,Water Service Area,-120.7512481,39.90584425,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301647,CAss_S1113,CA3200195,GREENHAVEN HOA,NULL,Water Service Area,-120.965016,40.16153942,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301651,CAss_S1115,CA3200510,IVCSD CRESCENT MILLS,NULL,Water Service Area,-120.9123239,40.09754452,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301653,CAss_S1116,CA3205001,WALKER RANCH CSD,NULL,Water Service Area,-121.1426495,40.28329517,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301674,CAss_S1118,CA3205006,GRIZZLY RANCH CSD,NULL,Water Service Area,-120.4157291,39.84428241,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301695,CAss_S112,CA0810002,SMITH RIVER C.S.D.,NULL,Water Service Area,-124.1773256,41.95176186,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,DEL NORTE,POU,114936
3301713,CAss_S1122,CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,NULL,Water Service Area,-121.142432,40.25361889,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,PLUMAS,POU,114936
3301744,CAss_S1127,CA3301028,BALDY MOUNTAIN RANCH,NULL,Water Service Area,-116.7381656,33.69409875,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301746,CAss_S1128,CA3301031,BANNING HTS. MUTUAL WATER CO.,NULL,Water Service Area,-116.9074689,33.97375084,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301746,CAss_S1128,CA3301031,BANNING HTS. MUTUAL WATER CO.,NULL,Water Service Area,-116.9074689,33.97375084,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301781,CAss_S1132,CA3301169,MURRIETA PALMS MOBILE HOME PARK,NULL,Water Service Area,-117.1725231,33.53991281,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301796,CAss_S1134,CA3301180,ANZA MUTUAL WATER COMPANY,NULL,Water Service Area,-116.6723815,33.5515264,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301836,CAss_S1139,CA3301381,CSA 51,NULL,Water Service Area,-115.3941691,33.72970979,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301860,CAss_S1142,CA3301491,ALPINE VILLAGE,NULL,Water Service Area,-116.4659599,33.59577923,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301870,CAss_S1143,CA3301511,PINYON CREST HOA,NULL,Water Service Area,-116.4341249,33.60526003,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301894,CAss_S1149,CA3301577,CSA 62,NULL,Water Service Area,-114.6579047,33.52472272,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301896,CAss_S115,CA0810800,CALFIRE-ALDER CONSERVATION CAMP,NULL,Water Service Area,-124.0606784,41.50053268,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,DEL NORTE,POU,114936
3301897,CAss_S1150,CA3301588,ROYAL CARRIZO HOA,NULL,Water Service Area,-116.4202527,33.63654127,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301905,CAss_S1153,CA3301676,THOMAS MOUNTAIN WATER COMPANY,NULL,Water Service Area,-116.6263169,33.61191042,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301906,CAss_S1154,CA3301717,VALLEY VIEW TRAILER PARK,NULL,Water Service Area,-116.1278358,33.64153183,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301908,CAss_S1156,CA3301800,STONEWOOD CANYON ESTATES,NULL,Water Service Area,-116.7354487,33.77413144,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3301969,CAss_S1162,CA3303035,THERMAL PARK,NULL,Water Service Area,-116.1182354,33.5975218,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,RIVERSIDE,POU,114936
3302022,CAss_S117,CA0900308,QUINTETTE SERVICE CORP WATER,NULL,Water Service Area,-120.6867326,38.91704703,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,EL DORADO,POU,114936
3302264,CAss_S1215,CA3400121,EL DORADO MOBILE HOME PARK,NULL,Water Service Area,-121.4283702,38.48973237,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302274,CAss_S1216,CA3400122,EL DORADO WEST MHP,NULL,Water Service Area,-121.4306402,38.48974837,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302289,CAss_S1218,CA3400130,THE COURTLAND GROUP,NULL,Water Service Area,-121.5706338,38.32984355,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302298,CAss_S1219,CA3400137,LINCOLN CHAN-HOME RANCH,NULL,Water Service Area,-121.5660922,38.3325937,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302304,CAss_S1220,CA3400150,DELTA CROSSING MHP,NULL,Water Service Area,-121.5196439,38.37011119,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302347,CAss_S1225,CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,NULL,Water Service Area,-121.3796378,38.65640411,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
3302367,CAss_S1229,CA3400296,TRAVEL LODGE MOBILE HOME PARK,NULL,Water Service Area,-121.4330577,38.51332844,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,SACRAMENTO,POU,114936
