MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,34500.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-01-31,2014-01-01,Bad WaterSourceUUID,741.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,40000.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-02-28,2014-02-01,Bad WaterSourceUUID,742.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,56200.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-03-31,2014-03-01,Bad WaterSourceUUID,743.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,35300.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-04-30,2014-04-01,Bad WaterSourceUUID,744.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,33200.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-05-31,2014-05-01,Bad WaterSourceUUID,745.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,6800.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-06-30,2014-06-01,Bad WaterSourceUUID,746.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,9700.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-07-31,2014-07-01,Bad WaterSourceUUID,747.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,2600.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-08-31,2014-08-01,Bad WaterSourceUUID,748.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,3200.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-09-30,2014-09-01,Bad WaterSourceUUID,749.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,4300.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-10-31,2014-10-01,Bad WaterSourceUUID,750.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,17400.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-11-30,2014-11-01,Bad WaterSourceUUID,751.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,27400.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2014,,2014-12-31,2014-12-01,Bad WaterSourceUUID,752.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,24100.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-01-31,2015-01-01,Bad WaterSourceUUID,753.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,23100.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-02-28,2015-02-01,Bad WaterSourceUUID,754.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,49300.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-03-31,2015-03-01,Bad WaterSourceUUID,755.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,23700.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-04-30,2015-04-01,Bad WaterSourceUUID,756.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,6800.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-05-31,2015-05-01,Bad WaterSourceUUID,757.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,15000.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-06-30,2015-06-01,Bad WaterSourceUUID,758.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,8500.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-07-31,2015-07-01,Bad WaterSourceUUID,759.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,6100.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-08-31,2015-08-01,Bad WaterSourceUUID,760.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,25900.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-09-30,2015-09-01,Bad WaterSourceUUID,761.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,28200.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-10-31,2015-10-01,Bad WaterSourceUUID,762.0
CSWRCB_Public Drinking Water,CSWRCB,,CSWRCB_Site Specific,,19000.0,,,Unspecified,CALTRANS-CAPLES LAKE MAINTENANCE STATION,,,02/26/2021,,,,,59.0,,,Unspecified,2015,,2015-11-30,2015-11-01,Bad WaterSourceUUID,763.0
