SiteID,SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,StateCV,HUC8,HUC12,County,PODorPOUSite,WaterSourceID
3300906,CAss_S10,CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,NULL,Water Service Area,-121.9002763,37.73178489,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ALAMEDA,POU,114936
3300907,CAss_S100,CA0710004,BRENTWOOD,NULL,Water Service Area,-121.7188741,37.93575548,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,CONTRA COSTA,POU,114936
3300918,CAss_S1001,CA2900502,FLORISTON WATER SYSTEM,NULL,Water Service Area,-120.0216135,39.39379176,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3300936,CAss_S1003,CA2900511,SHADY LAKE WATER ASSOCIATION,NULL,Water Service Area,-121.1062758,39.37057772,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3300968,CAss_S1006,CA2900562,ANANDA VILLAGE,NULL,Water Service Area,-121.0490782,39.36766733,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3300982,CAss_S1008,CA2910001,CITY OF GRASS VALLEY,NULL,Water Service Area,-121.0550628,39.22355474,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3300996,CAss_S101,CA0710006,CITY OF MARTINEZ,NULL,Water Service Area,-122.1218263,37.99611071,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,CONTRA COSTA,POU,114936
3300997,CAss_S1010,CA2910003,"TRUCKEE-DONNER PUD, MAIN",NULL,Water Service Area,-120.2024099,39.34445612,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301004,CAss_S1011,CA2910004,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",NULL,Water Service Area,-121.0492259,39.24020633,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301010,CAss_S1012,CA2910006,NEVADA ID - LOMA RICA,NULL,Water Service Area,-121.0382651,39.14658374,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301017,CAss_S1013,CA2910010,TRUCKEE-DONNER PUD - HIRSCHDALE,NULL,Water Service Area,-120.0779329,39.36684794,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301030,CAss_S1015,CA2910014,NEVADA ID - LAKE OF PINES,NULL,Water Service Area,-121.060017,39.03778771,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301042,CAss_S1017,CA2910023,NEVADA ID - LAKE WILDWOOD,NULL,Water Service Area,-121.1994758,39.22992513,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,NEVADA,POU,114936
3301047,CAss_S1019,CA3000519,HYNES ESTATES MUTUAL WATER CO.,NULL,Water Service Area,-117.9901579,33.79364406,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
3301050,CAss_S102,CA0710007,DIABLO WATER DISTRICT,NULL,Water Service Area,-121.6955298,37.99278394,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,CONTRA COSTA,POU,114936
3301051,CAss_S1020,CA3000585,PAGE AVENUE MUTUAL WATER COMPANY,NULL,Water Service Area,-117.9628358,33.85602782,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
3301057,CAss_S1022,CA3010001,CITY OF ANAHEIM,NULL,Water Service Area,-117.8593192,33.83833082,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
3301068,CAss_S1023,CA3010002,CITY OF BREA,NULL,Water Service Area,-117.8653815,33.92546821,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
3301069,CAss_S1024,CA3010003,CITY OF BUENA PARK,NULL,Water Service Area,-118.0045826,33.85723551,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
3301075,CAss_S1025,CA3010004,MESA  WATER DISTRICT,NULL,Water Service Area,-117.9127192,33.66609384,Centroid of Area,Unspecified,NULL,4326,NULL,NULL,NULL,NULL,NULL,ORANGE,POU,114936
