Year,TWDB_Survey_Number,PWS_Entity_Name,TCEQ_PWS_Code,Single_Family_Connections,Multi_Family_Connections,Commercial_Connections,Industrial_Connections,Institutional_Connections,Agriculture_Connections,Reuse_Connections,Total_Metered_Connections,Total_Unmetered_Connections,Single_Family_Volume,Multi_Family_Volume,Commercial_Volume,Industrial_Volume,Institutional_Volume,Agriculture_Volume,Reuse_Volume,Total_Metered_Volume,Unmetered_Volume
2019,0626055,114TH STREET MHP,1520067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1103447,130 REGIONAL WSC,260049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1103409,4 D WATER,460152,94,0,0,0,0,0,0,94,10,"8,923,510",0,0,0,0,0,0,"8,923,510","333,590"
2019,0301095,410 WSC,1940006,802,0,0,0,0,0,0,802,10,"111,849,616",0,0,0,0,0,0,"111,849,616","238,000"
2019,0301100,439 WSC,140076,"2,124",237,162,0,0,0,0,"2,523",0,"259,789,300","14,844,000","22,275,000",0,0,0,0,"296,908,300",0
2019,0927230,84 WEST WSC,1470015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0005000,A & P WSC,1830017,207,0,5,0,0,0,0,212,0,"7,801,200",0,"322,600",0,0,0,0,"8,123,800",0
2019,0133338,A 1 UTILITY & CONSTRUCTION SERVICES INC-CAPE MALIBU WSC,1700065,126,0,2,0,0,0,0,128,0,"6,042,000",0,"312,000",0,0,0,0,"6,354,000","5,000"
2019,0823104,A 1 UTILITY & CONSTRUCTION SERVICES INC-CHATEAU WOODS MUD,1700008,822,0,5,0,2,0,0,829,1,"50,004,000",0,"15,641,000",0,"1,107,000",0,0,"66,752,000","193,000"
2019,0200395,A 1 UTILITY & CONSTRUCTION SERVICES INC-CITY OF CUT AND SHOOT,1700592,"1,876",0,104,10,12,0,0,"2,002",0,"113,551,300",0,"8,652,150","6,845,860","4,831,620",0,0,"133,880,930","3,233,930"
2019,0481270,A 1 UTILITY & CONSTRUCTION SERVICES INC-LAKELAND SECTION 4 WATER SYSTEM,1700019,98,0,0,0,0,0,0,98,0,"4,521,000",0,0,0,0,0,0,"4,521,000","405,000"
2019,1101876,A 1 UTILITY & CONSTRUCTION SERVICES INC-OAK HILL ESTATES WATER COMPANY,1013045,126,0,0,0,0,0,0,126,0,"7,644,000",0,0,0,0,0,0,"7,644,000","1,120,000"
2019,0842875,A 1 UTILITY & CONSTRUCTION SERVICES INC-OLD TAMINA WSC,1700110,177,0,0,0,0,0,0,177,0,"9,223,000",0,0,0,0,0,0,"9,223,000","4,052,000"
2019,0006670,ABLES SPRINGS SUD,1290010,"1,562",0,24,2,6,6,0,"1,600",160,"70,930,700",0,"2,436,000",0,"89,100","348,500",0,"73,804,300","1,933,600"
2019,0843530,ABRAXAS UTILITIES,1840034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0008000,ACKERLY WSC,580011,144,0,6,0,8,0,0,158,0,"8,835,680",0,"283,060",0,"705,380",0,0,"9,824,120",0
2019,0008860,ACTON MUD,1110007,"7,870",14,104,0,72,1,0,"8,061",0,"630,343,430","3,890,315","21,747,979",0,"3,169,760","2,915,280",0,"662,066,764",0
2019,0845074,AERO VALLEY WATER SERVICE,610243,24,0,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2019,0009950,AFTON GROVE WSC,370014,547,4,7,1,1,0,0,560,30,"32,293,100","1,732,280","332,200","1,484,200","468,800",0,0,"36,310,580","600,000"
2019,0020305,Aggregate Water Services-AMBERWOOD UTILITY,1011920,50,0,0,0,0,0,0,50,0,"4,662,200",0,0,0,0,0,0,"4,662,200",0
2019,1104474,Aggregate Water Services-CONROE OAKS,1700727,30,0,0,0,0,0,0,30,0,"3,949,900",0,0,0,0,0,0,"3,949,900",0
