Year,TWDB_Survey_Number,PWS_Entity_Name,TCEQ_PWS_Code,Single_Family_Connections,Multi_Family_Connections,Commercial_Connections,Industrial_Connections,Institutional_Connections,Agriculture_Connections,Reuse_Connections,Total_Metered_Connections,Total_Unmetered_Connections,Single_Family_Volume,Multi_Family_Volume,Commercial_Volume,Industrial_Volume,Institutional_Volume,Agriculture_Volume,Reuse_Volume,Total_Metered_Volume,Unmetered_Volume
2017,0626055,114TH STREET MHP,1520067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1103409,4 D WATER,460152,94,0,0,0,0,0,0,94,13,"8,985,680",0,0,0,0,0,0,"8,985,680","4,774,420"
2017,0301095,410 WSC,1940006,802,0,0,0,0,0,0,802,10,"88,520,000",0,0,0,0,0,0,"88,520,000","320,000"
2017,0301100,439 WSC,140076,"2,222",80,162,0,0,0,0,"2,464",0,"252,389,000","2,759,000","9,853,000",0,0,0,0,"265,001,000",0
2017,0927230,84 WEST WSC,1470015,49,0,2,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
2017,0005000,A & P WSC,1830017,206,0,5,0,0,0,0,211,0,"7,636,000",0,"312,900",0,0,0,0,"7,948,900",0
2017,0133338,A 1 UTILITY & CONSTRUCTION SERVICES INC-CAPE MALIBU WSC,1700065,122,0,3,0,0,0,0,125,0,"216,000",0,"478,000",0,0,0,0,"694,000",0
2017,0823104,A 1 UTILITY & CONSTRUCTION SERVICES INC-CHATEAU WOODS MUD,1700008,797,0,4,0,0,0,0,801,0,"51,669,000",0,"12,327,000",0,0,0,0,"63,996,000","47,000"
2017,0200395,A 1 UTILITY & CONSTRUCTION SERVICES INC-CITY OF CUT AND SHOOT,1700592,"1,536",0,115,2,9,0,0,"1,662",0,"114,545,000",0,"13,874,150","7,919,100","4,269,750",0,0,"140,608,000","1,250,000"
2017,0481270,A 1 UTILITY & CONSTRUCTION SERVICES INC-LAKELAND SECTION 4 WATER SYSTEM,1700019,110,0,0,0,0,0,0,110,0,"4,906,000",0,0,0,0,0,0,"4,906,000","837,000"
2017,1101876,A 1 UTILITY & CONSTRUCTION SERVICES INC-OAK HILL ESTATES WATER COMPANY,1013045,135,0,0,0,0,0,0,135,0,"7,277,000",0,0,0,0,0,0,"7,277,000","1,027,000"
2017,0842875,A 1 UTILITY & CONSTRUCTION SERVICES INC-OLD TAMINA WSC,1700110,175,0,0,0,0,0,0,175,0,"10,022,000",0,0,0,0,0,0,"10,022,000",0
2017,0006670,ABLES SPRINGS SUD,1290010,"1,541",0,13,3,5,6,0,"1,568",147,"62,729,000",0,"1,765,000","11,000","48,000","326,000",0,"64,879,000","3,037,000"
2017,0843530,ABRAXAS UTILITES,1840034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0008000,ACKERLY WSC,580011,115,0,4,0,5,0,0,124,0,0,0,0,0,0,0,0,0,0
2017,0008860,ACTON MUD,1110007,"7,373",93,108,0,76,0,0,"7,650",1,"593,459,658","2,858,317","11,543,285",0,"52,103,205",0,0,"659,964,465","2,130,170"
2017,0845074,AERO VALLEY WATER SERVICE,610243,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,"31,200"
2017,0009950,AFTON GROVE WSC,370014,489,4,10,1,4,0,0,508,0,"33,744,514","146,720","1,901,830","1,495,300","748,200",0,0,"38,036,564",0
2017,0020305,Aggregate Water Services-AMBERWOOD UTILITY,1011920,50,0,0,0,0,0,0,50,0,"4,141,500",0,0,0,0,0,0,"4,141,500",0
2017,1104474,Aggregate Water Services-CONROE OAKS,1700727,30,0,0,0,0,0,0,30,0,"2,819,100",0,0,0,0,0,0,"2,819,100",0
2017,0481517,Aggregate Water Services-LAKE WATER WHEEL POA,2040023,67,0,0,0,0,0,0,67,0,"3,967,700",0,0,0,0,0,0,"3,967,700",0
2017,0783599,Aggregate Water Services-SADDLE & SURREY ACRES WATER SYSTEM,1700378,18,0,0,0,0,0,0,18,0,"1,848,800",0,0,0,0,0,0,"1,848,800",0
2017,0921200,Aggregate Water Services-WAYNEWOOD PLACE CIVIC CLUB,1011186,49,0,0,0,0,0,0,49,0,"5,996,700",0,0,0,0,0,0,"5,996,700",0
2017,0479700,AGUA SUD,1080022,"14,474",118,859,0,51,22,0,"15,524",6,"1,451,687,921","53,374,900","166,696,000",0,"109,460,200","1,552,200",0,"1,782,771,221","3,517,005"
2017,0010848,AIR FORCE VILLAGE II,150463,425,0,0,0,0,0,0,425,0,"83,128,000",0,0,0,0,0,0,"83,128,000",0
2017,0010853,AIR PARK HOA,430060,32,0,0,0,0,0,0,32,0,"3,651,100",0,0,0,0,0,0,"3,651,100",0
2017,0482725,ALGONQUIN WATER SERVICES LLC-BIG EDDY WATER (THE VILLAGES RESORT),2120037,703,0,45,0,0,0,0,748,0,"74,218,924",0,"16,291,959",0,0,0,0,"90,510,883",0
2017,0392480,ALGONQUIN WATER SERVICES LLC-HOLLY RANCH WATER COMPANY,2500012,"1,926",0,71,0,0,0,0,"1,997",0,"127,316,809",0,"12,591,772",0,0,0,0,"139,908,581",0
2017,0954905,ALPHA UTILITY COMPANY,320014,157,0,2,0,0,0,0,159,21,"2,934,000",0,"940,000",0,0,0,0,"3,874,000","972,000"
2017,0015450,ALTO RURAL WSC-BRADFORD MT PLANT,370056,125,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0
2017,1103322,ALTO RURAL WSC-CENTRAL HIGH PLANT,370055,404,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0
2017,1103323,ALTO RURAL WSC-COLDSPRINGS PLANT,370015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0015500,ALTOGA WSC,430026,306,0,1,0,0,0,0,307,0,"21,949,500",0,"2,404,000",0,0,0,0,"24,353,500",0
2017,0017600,AMARILLO MWS,1880001,"63,322","1,250","7,080",108,495,1,2,"72,258",1,"6,381,029,000","765,723,480","5,161,296,000","385,585,000","73,505,000","1,684,154,000","3,116,759,000","17,568,051,480","200,000"
2017,0133135,AMBERWOOD WATER SYSTEM,1910026,159,0,1,0,0,0,0,160,1,"10,788,155",0,"403,590",0,0,0,0,"11,191,745","7,996,255"
2017,0023500,AMES MINGLEWOOD WSC,1460005,476,0,3,0,0,0,0,479,0,"29,871,420",0,"2,460,112",0,0,0,0,"32,331,532",0
2017,0315910,AMON G CARTER LAKE WSC,1690023,287,0,0,0,0,0,0,287,0,"12,528,300",0,0,0,0,0,0,"12,528,300",0
2017,0025189,ANCAR WATER SYSTEM,1810188,9,0,0,0,0,0,0,9,0,"703,800",0,0,0,0,0,0,"703,800",0
2017,0026080,ANDERSON COUNTY CEDAR CREEK WSC,10046,429,0,0,0,0,0,0,429,0,"39,119,000",0,0,0,0,0,0,"39,119,000",0
2017,0025600,ANDERSON WATER COMPANY-ANDERSON WATER SYSTEM,930011,206,0,20,0,10,0,0,236,0,"20,000,000",0,"1,932,000",0,"1,833,000",0,0,"23,765,000",0
2017,0725200,ANDERSON WATER COMPANY-RICHARDS WATER SYSTEM,930015,118,0,2,0,1,0,0,121,0,"5,000,000",0,"178,000",0,"600,000",0,0,"5,778,000",0
2017,0731910,ANDERSON WATER COMPANY-ROANS PRAIRIE WATER SYSTEM,930016,32,0,3,0,0,0,0,35,0,"1,800,000",0,"478,000",0,0,0,0,"2,278,000",0
2017,0794600,ANDERSON WATER COMPANY-SHIRO WATER SYSTEM,930014,100,0,1,0,1,0,0,102,0,"5,546,000",0,"144,000",0,"36,000",0,0,"5,726,000",0
2017,0028410,ANGELINA & NECHES RIVER AUTHORITY-ANGELINA COUNTY FWSD 1,30102,176,0,8,0,0,0,0,184,0,"11,750,867",0,"242,253",0,0,0,0,"11,993,120",0
2017,0392570,ANGELINA & NECHES RIVER AUTHORITY-HOLMWOOD ADDITION,1210020,157,0,2,0,0,0,0,159,0,"9,923,164",0,"138,882",0,0,0,0,"10,062,046",0
2017,1102143,ANGELINA & NECHES RIVER AUTHORITY-PLEASURE POINT,30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0028500,ANGELINA WSC,30016,"1,243",0,2,2,0,0,0,"1,247",0,"67,604,000",0,"312,800","369,200",0,0,0,"68,286,000","3,000,000"
2017,0029000,ANGUS WSC,1750010,345,0,19,0,0,0,0,364,0,"18,177,300",0,"2,615,900",0,0,0,0,"20,793,200",0
2017,0030900,APACHELAND MOBILE HOME SUBDIVISION,1010085,67,0,0,0,0,0,0,67,0,"2,809,075",0,0,0,0,0,0,"2,809,075",0
2017,0031400,APPLE SPRINGS WSC,2280004,190,0,1,0,1,0,0,192,6,"7,363,420",0,"652,370",0,"438,600",0,0,"8,454,390","3,146,000"
2017,0031200,APPLEBY WSC,1740005,"1,671",0,0,0,0,0,0,"1,671",0,"169,862,000",0,0,0,0,0,0,"169,862,000",0
2017,0232805,AQUA PURE-ALDINE VILLAGE SUBDIVISION,1010931,370,0,15,0,0,0,0,385,0,"33,122,000",0,"20,315,000",0,0,0,0,"53,437,000",0
2017,1102386,AQUA PURE-BEAU VIEW UTILITIES,1700708,45,0,0,0,0,0,0,45,0,"3,926,100",0,0,0,0,0,0,"3,926,100",0
2017,0438500,AQUA PURE-BEDIAS WATER COMPANY,930012,225,0,0,0,0,0,0,225,0,"10,497,000",0,0,0,0,0,0,"10,497,000",0
2017,1102387,AQUA PURE-BELL WATER SUBDIVISION,2280034,24,0,0,0,0,0,0,24,0,"1,179,900",0,0,0,0,0,0,"1,179,900",0
2017,0140850,AQUA PURE-CEDAR BAYOU PARK,1010112,190,0,0,0,0,0,0,190,0,"11,754,300",0,0,0,0,0,0,"11,754,300",0
2017,0164000,AQUA PURE-CEDAR BAYOUR ESTATES,1012174,60,0,0,0,0,0,0,60,0,"1,109,700",0,0,0,0,0,0,"1,109,700",0
2017,0186920,AQUA PURE-COTTONWOOD PARK WATER SYSTEM,1010283,57,0,0,0,0,0,0,57,0,"4,922,100",0,0,0,0,0,0,"4,922,100",0
2017,0201270,AQUA PURE-CYPRESS HILL SUBDIVISION,1011792,30,0,0,0,0,0,0,30,0,"1,000",0,0,0,0,0,0,"1,000",0
2017,0217525,AQUA PURE-DEEP RIVER PLANTATION SUBDIVISION,2360025,65,0,0,0,0,0,0,65,0,"5,986,000",0,0,0,0,0,0,"5,986,000",0
2017,0267150,AQUA PURE-ENCHANTED COVE WATER SYSTEM,1700617,96,0,0,0,0,0,0,96,0,"2,209,200",0,0,0,0,0,0,"2,209,200",0
2017,1102388,AQUA PURE-GREEN RICH SHORES AND STERLING ISL,2360026,99,0,0,0,0,0,0,99,0,"4,142,200",0,0,0,0,0,0,"4,142,200",0
