Year,TWDB_Survey_Number,PWS_Entity_Name,TCEQ_PWS_Code,Single_Family_Connections,Multi_Family_Connections,Commercial_Connections,Industrial_Connections,Institutional_Connections,Agriculture_Connections,Reuse_Connections,Total_Metered_Connections,Total_Unmetered_Connections,Single_Family_Volume,Multi_Family_Volume,Commercial_Volume,Industrial_Volume,Institutional_Volume,Agriculture_Volume,Reuse_Volume,Total_Metered_Volume,Unmetered_Volume
2016,290,WHITE RIVER MWD,540015,260,0,8,0,0,39,0,307,22,"10,834,690",0,"4,582,530",0,0,"838,490",0,"16,255,710","5,000,000"
2016,5000,A & P WSC,1830017,206,0,4,0,0,0,0,210,0,"10,101,600",0,"328,200",0,0,0,0,"10,429,800",0
2016,5800,CITY OF ABBOTT,1090015,203,0,8,0,8,4,0,223,10,"10,281,910",0,"450,980",0,"2,328,930","27,420",0,"13,089,240","281,600"
2016,6600,CITY OF ABERNATHY,950001,"1,062",5,93,1,15,0,0,"1,176",0,"82,285,000","793,000","16,181,000","569,000","11,840,000",0,0,"111,668,000",0
2016,6650,CITY OF ABILENE,2210001,"36,284","10,358","4,880",44,744,0,1,"52,311",0,"2,553,239,000","537,006,000","989,628,000","144,859,000","501,717,000",0,"75,534,000","4,801,983,000",0
2016,6670,ABLES SPRINGS SUD,1290010,"1,507",0,12,3,5,6,0,"1,533",145,"59,035,000",0,"2,106,000","301,000","36,000","429,000",0,"61,907,000","4,792,000"
2016,8000,ACKERLY WSC,580011,115,0,4,0,5,0,0,124,0,"11,243,710",0,"170,810",0,"572,000",0,0,"11,986,520",0
2016,8860,ACTON MUD,1110007,"7,133",93,103,0,65,0,0,"7,394",0,"574,885,794","3,299,174","10,747,046",0,"12,494,004",0,0,"601,426,018",0
2016,8868,MONARCH UTILITIES LP-ACTON WATER COMPANY ROYAL OAKS,1110055,69,0,3,0,0,0,0,72,0,"5,008,000",0,"336,000",0,0,0,0,"5,344,000","426,322"
2016,8960,SEVERN TRENT SERVICES-ADDICKS UD,1011019,"1,405",312,21,0,0,0,0,"1,738",0,"107,153,580","16,201,400","32,402,800",0,0,0,0,"155,757,780","6,697,750"
2016,9000,TOWN OF ADDISON,570031,"1,806",156,"1,126",21,48,210,0,"3,367","1,052","176,720,180","322,235,000","513,515,690","2,670,500","18,609,100","448,097,800",0,"1,481,848,270","125,173,000"
2016,9600,MOORTEX WSC,1710021,73,0,0,0,0,0,0,73,0,"8,411,211",0,0,0,0,0,0,"8,411,211",0
2016,9800,B B S WSC-ADRIAN MUNICIPAL WATER SYSTEM,1800003,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0
2016,9950,AFTON GROVE WSC,370014,433,4,10,1,4,0,0,452,0,"36,556,036","1,347,200","332,400","1,140,000","815,200",0,0,"40,190,836",0
2016,9951,CRYSTAL SPRINGS WATER COMPANY-AFTON PARK SYSTEM,1700147,56,0,0,0,0,0,0,56,0,"4,225,853",0,0,0,0,0,0,"4,225,853",0
2016,10200,AQUA TEXAS INC-AGNES SUBDIVISION,1840017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,10600,CITY OF AGUA DULCE,1780001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,10848,AIR FORCE BLUE SKIES,150463,415,0,0,0,0,0,0,415,415,0,0,0,0,0,0,0,"67,400,000","67,400,000"
2016,10853,AIR PARK HOA,430060,32,0,0,0,0,0,0,32,0,"3,831,700",0,0,0,0,0,0,"3,831,700",0
2016,11000,CITY OF ALAMO,1080001,"4,605",0,439,0,0,0,0,"5,044",0,"424,857,300",0,"192,293,800",0,0,0,0,"617,151,100","859,000"
2016,11200,CITY OF ALAMO HEIGHTS,150039,"2,400",96,235,0,20,0,0,"2,751",4,"332,688,790","29,854,228","88,312,830",0,"10,937,937",0,0,"461,793,785","4,340,000"
2016,11400,CITY OF ALBA,2500005,298,3,37,0,0,0,0,338,2,"16,936,600","740,200","2,308,700",0,0,0,0,"19,985,500","30,000"
2016,11420,CITY OF ALBANY,2090001,865,4,154,1,50,9,0,"1,083",1,"68,312,000","1,661,000","10,646,000","4,249,000","3,606,000","6,432,510",0,"94,906,510","6,427,000"
2016,11425,K & K WATER CO,110045,75,0,0,0,0,0,0,75,0,"4,607,000",0,0,0,0,0,0,"4,607,000",0
